,alpha,beta,loss,x,y
0,-4.0,-4.0,0.002984241176210344,-0.12345835566520691,-0.04013989865779877
1,-4.0,-3.92,0.0028871391417458654,-0.12324697524309158,-0.041274309158325195
2,-4.0,-3.84,0.0027946831623092295,-0.12303555011749268,-0.04240664839744568
3,-4.0,-3.76,0.002706726447492838,-0.12282435595989227,-0.04353606700897217
4,-4.0,-3.68,0.0026232573603279887,-0.12261264026165009,-0.04466354846954346
5,-4.0,-3.6,0.00254401247818023,-0.12240052968263626,-0.04578804969787598
6,-4.0,-3.52,0.002468622918985784,-0.12218789011240005,-0.046910181641578674
7,-4.0,-3.44,0.0023966681562364103,-0.12197531014680862,-0.04802921414375305
8,-4.0,-3.36,0.0023280500307679176,-0.12176252156496048,-0.049146056175231934
9,-4.0,-3.28,0.0022627649555914103,-0.12154942005872726,-0.050259873270988464
10,-4.0,-3.2,0.0022006816192530095,-0.12133597582578659,-0.0513714998960495
11,-4.0,-3.12,0.002141707652248442,-0.12112254649400711,-0.05248036980628967
12,-4.0,-3.04,0.0020853315566666426,-0.12090858817100525,-0.0535859614610672
13,-4.0,-2.96,0.0020315706357359885,-0.12069439888000488,-0.05468888580799103
14,-4.0,-2.88,0.001980565896630287,-0.12047980725765228,-0.055789053440093994
15,-4.0,-2.8,0.001932213869318366,-0.12026502192020416,-0.05688653886318207
16,-4.0,-2.72,0.001886211844207719,-0.12005005031824112,-0.057980164885520935
17,-4.0,-2.64,0.0018423371402546762,-0.11983469873666763,-0.05907230079174042
18,-4.0,-2.56,0.0018005188557785004,-0.1196192055940628,-0.060160890221595764
19,-4.0,-2.48,0.001760497776698321,-0.11940347403287888,-0.06124602258205414
20,-4.0,-2.4,0.0017222827763296665,-0.11918692290782928,-0.062328219413757324
21,-4.0,-2.32,0.0016858103841543197,-0.11897101998329163,-0.06340701878070831
22,-4.0,-2.24,0.0016509812508244068,-0.11875402927398682,-0.0644836574792862
23,-4.0,-2.16,0.0016168549894820898,-0.11853682994842529,-0.06555646657943726
24,-4.0,-2.08,0.0015846271623158827,-0.11831964552402496,-0.06662636995315552
25,-4.0,-2.0,0.0015542181193828582,-0.11810235679149628,-0.06769292056560516
26,-4.0,-1.92,0.0015253289462532848,-0.11788412928581238,-0.06875590980052948
27,-4.0,-1.84,0.0014978003796190023,-0.1176658645272255,-0.06981655955314636
28,-4.0,-1.76,0.0014714207766577602,-0.11744751781225204,-0.0708734393119812
29,-4.0,-1.68,0.0014461891594342888,-0.11722803860902786,-0.07192739844322205
30,-4.0,-1.6,0.0014221241703955456,-0.11700937151908875,-0.07297737896442413
31,-4.0,-1.52,0.001399111823446583,-0.11678928136825562,-0.07402418553829193
32,-4.0,-1.44,0.0013772249277099035,-0.11656966805458069,-0.07506842911243439
33,-4.0,-1.36,0.0013564604645478538,-0.11634882539510727,-0.07610815763473511
34,-4.0,-1.28,0.0013369291588198394,-0.1161288470029831,-0.07714509963989258
35,-4.0,-1.2,0.001318367023137398,-0.11590729653835297,-0.07817870378494263
