,epoch0_participant0,epoch1_participant0,epoch2_participant0,epoch3_participant0,epoch4_participant0,epoch5_participant0,epoch6_participant0,epoch7_participant0,epoch8_participant0,epoch9_participant0,epoch10_participant0
0,-0.067142114,-0.06788295,-0.077026956,-0.08824989,-0.080319665,-0.07879442,-0.07894838,-0.08880039,-0.09303472,-0.09411484,-0.0943457
1,-0.054833382,-0.11332078,-0.13772729,-0.16159913,-0.16652644,-0.18110654,-0.19021855,-0.19657074,-0.20418942,-0.20855975,-0.21275738
2,0.11444332,-0.030269349,-0.051232804,-0.06236169,-0.059216034,-0.060734265,-0.06147045,-0.0591996,-0.058269273,-0.05725103,-0.058134235
3,0.09314965,0.008164942,-0.010186089,-0.01849337,-0.008520971,0.0024958947,0.011533581,0.013656535,0.019315269,0.027075792,0.039291628
4,-0.17452441,-0.27595195,-0.29348788,-0.2991489,-0.29684135,-0.30095553,-0.3058068,-0.30920398,-0.3119667,-0.31674406,-0.31897077
5,0.049128637,-0.15971142,-0.19667743,-0.20972997,-0.21075943,-0.21394043,-0.21459675,-0.21308641,-0.21042289,-0.20082311,-0.1942846
6,-0.015267327,-0.15159619,-0.17103232,-0.18220778,-0.1761074,-0.17213047,-0.15507822,-0.14297983,-0.13256288,-0.12520386,-0.11990372
7,0.15188421,0.023720859,0.010852241,0.0042855237,-0.0012638251,-0.017876621,-0.024202531,-0.028757498,-0.03566087,-0.049688093,-0.054283842
8,-0.10269127,-0.25419658,-0.2700672,-0.27388656,-0.27989265,-0.29103783,-0.2953068,-0.2995941,-0.29736957,-0.29383227,-0.2862148
9,-0.187242,-0.080179825,-0.07116853,-0.07626065,-0.07930042,-0.0942526,-0.10559449,-0.12242901,-0.13756917,-0.1470626,-0.15795383
10,-0.019402072,0.04785428,0.056492247,0.056625217,0.05374031,0.039294016,0.030919453,0.026369676,0.019072043,0.016655872,0.011798958
11,0.18526013,0.15618972,0.15590441,0.1557826,0.14646326,0.1316335,0.119425885,0.10694841,0.0960812,0.08529166,0.07277716
12,-0.13917539,-0.0991223,-0.0792666,-0.07087667,-0.06297883,-0.06250405,-0.060991682,-0.059058536,-0.05818627,-0.053430397,-0.04706324
13,-0.1784643,-0.13782774,-0.1021626,-0.071928486,-0.055719208,-0.050771594,-0.0485865,-0.041262735,-0.03406644,-0.026784584,-0.021355148
14,0.13592656,0.071908444,0.079283975,0.09330368,0.095825754,0.09148571,0.0882784,0.08568795,0.08889216,0.0986543,0.105305076
15,0.031171814,0.012949476,0.028281435,0.031370725,0.030961182,0.021012638,0.02374416,0.025645666,0.022744574,0.019436164,0.011381667
16,-0.12899923,-0.13001285,-0.09627179,-0.07287259,-0.069215655,-0.08173861,-0.08801261,-0.08948024,-0.092185706,-0.098721124,-0.09994576
17,-0.08888233,-0.11604542,-0.093293846,-0.07350653,-0.075785905,-0.087904885,-0.09835591,-0.108564004,-0.10690272,-0.10397289,-0.09728923
18,0.012289211,0.16016367,0.15973775,0.15138113,0.15065292,0.1485741,0.1413247,0.13501376,0.119514525,0.11010253,0.103695825
19,0.112170026,0.23545009,0.24169576,0.24350998,0.2532441,0.2601526,0.26374012,0.27416483,0.27012396,0.2706637,0.26770923
20,-0.025384545,0.0053735385,8.167326e-05,-0.0056993985,-0.008471777,-0.008833209,-0.011860761,-0.011348814,-0.0182289,-0.028115816,-0.04124922
21,-0.11073236,-0.0071424423,-0.0021858844,-0.004665735,-0.00054334925,0.007780059,0.008461785,0.014260423,0.010822404,0.01691453,0.027775122
22,0.08314724,0.19935638,0.22569183,0.2492237,0.27113238,0.29081446,0.30094257,0.31566727,0.32108003,0.3302115,0.33952874
23,0.10381998,0.11986963,0.11985982,0.124957755,0.13215375,0.14051141,0.14537282,0.15144907,0.15478407,0.16351172,0.17226067
24,-0.008717328,0.036693975,0.032663014,0.02705749,0.028133616,0.029737312,0.035739265,0.042213265,0.0381693,0.04157483,0.04010518
25,0.059807852,0.12834157,0.1450362,0.16163652,0.17629524,0.18238029,0.18802795,0.19285055,0.19041274,0.18802899,0.19076633
26,0.18724217,0.23467474,0.24147102,0.2529857,0.26083213,0.26400277,0.2649974,0.26206988,0.2624237,0.2656322,0.27427453
27,0.032127336,0.13753925,0.16550377,0.18808524,0.20209633,0.22077763,0.2298954,0.24265102,0.24786104,0.2499821,0.25275835
28,0.06475808,0.1340098,0.1656937,0.19578345,0.22104739,0.25296414,0.27889112,0.30580652,0.33048105,0.34984773,0.3742047
29,0.17150529,0.29668152,0.32614678,0.35312662,0.3682547,0.38348615,0.3844522,0.39225337,0.4033422,0.40743664,0.41882104
30,0.14202864,0.124165416,0.10548826,0.09086433,0.068299815,0.049057692,0.018663974,6.1107916e-05,-0.016523791,-0.034001015,-0.04577258
31,0.07080968,0.0332456,0.008792277,-0.007986989,-0.024020055,-0.042165406,-0.06104033,-0.07971419,-0.10228796,-0.12405935,-0.13453056
32,-0.041086107,-0.0022553664,-0.020731928,-0.020937016,-0.02503506,-0.03081943,-0.037026964,-0.035476368,-0.038690586,-0.04032886,-0.033923645
33,0.01168263,-0.084594876,-0.1040197,-0.09947714,-0.10704178,-0.10767197,-0.116742685,-0.11539866,-0.108194776,-0.10404851,-0.10029965
34,-0.09393203,-0.19976974,-0.2271826,-0.24521829,-0.27149126,-0.29478207,-0.32010147,-0.34110728,-0.35289308,-0.36335492,-0.37393683
35,-0.10689936,-0.17794839,-0.19670238,-0.20540677,-0.22651494,-0.24253885,-0.26087317,-0.2721708,-0.2843401,-0.29337764,-0.30173576
36,0.18137534,0.24184786,0.24479803,0.23100552,0.21788384,0.22007792,0.21448037,0.20813864,0.20267932,0.19567236,0.1897477
37,0.09927173,0.11892569,0.11420805,0.103856586,0.10206895,0.11882708,0.13596953,0.15003866,0.16876142,0.18592913,0.20235358
38,-0.057152554,0.0076456764,0.0020561966,-0.007767544,-0.015063708,-0.010001968,-0.014813397,-0.017585987,-0.00937717,-0.0036031976,0.006560621
39,-0.15999764,-0.20680864,-0.2160126,-0.23639026,-0.25760362,-0.27082455,-0.29640087,-0.31322306,-0.32149926,-0.33481753,-0.34387755
40,0.1302606,0.059054296,0.026305161,-0.0033259732,-0.02000539,-0.033050913,-0.047960855,-0.06220509,-0.07473616,-0.08919976,-0.09827742
41,-0.16922674,-0.17144267,-0.1960981,-0.2050907,-0.20510073,-0.20373896,-0.2040077,-0.19809549,-0.19056095,-0.18307865,-0.1728047
42,-0.18869463,-0.26876187,-0.25546935,-0.23984785,-0.22602785,-0.20344725,-0.19498302,-0.17627928,-0.15354386,-0.13930349,-0.1252846
43,0.06311847,-0.026979037,-0.032822426,-0.040111765,-0.04391719,-0.044481467,-0.05601035,-0.059319377,-0.057684384,-0.060403258,-0.06416646
44,0.06302829,0.00058435305,0.0018642275,0.0070617297,0.0133377705,0.02251398,0.020846331,0.028010087,0.03229525,0.033791985,0.035103396
45,-0.087617725,-0.060411923,-0.062868886,-0.07513996,-0.085951574,-0.09794935,-0.110276386,-0.12328601,-0.13863319,-0.14777507,-0.156738
46,0.18796448,0.17561407,0.15921783,0.14230251,0.13585675,0.13240999,0.13679598,0.13860087,0.1398529,0.14704499,0.14786807
47,0.11517699,0.14655931,0.12823035,0.1100674,0.10027783,0.08610457,0.07183105,0.061843883,0.05676859,0.055399947,0.051657293
48,0.029074416,-0.0012066135,0.0135779595,0.01733551,0.016469764,0.006975906,-0.011661886,-0.029361079,-0.04187919,-0.05186784,-0.059089184
49,-0.02748017,-0.081367545,-0.09358556,-0.10557804,-0.10821751,-0.121227205,-0.13213347,-0.14648797,-0.16273868,-0.17498803,-0.18606086
50,-0.1116878,-0.10110977,-0.11142824,-0.10941004,-0.10125625,-0.10679742,-0.108851425,-0.10779409,-0.10825367,-0.10614467,-0.105527945
51,0.08635779,0.067547105,0.11126715,0.15187317,0.1861597,0.21133511,0.2240025,0.23555888,0.25215778,0.26756603,0.28281015
52,0.11318646,0.086868145,0.11067476,0.12667066,0.14255904,0.14685136,0.14622107,0.1445135,0.14798667,0.15239435,0.15523142
53,0.0034681857,-0.0029042035,0.020985158,0.043030035,0.063288346,0.06871594,0.07071803,0.07276672,0.073720746,0.07372555,0.07487411
