,alpha,beta,loss,x,y
0,-1.5,-1.5,3600.1387556640625,-72.73057556152344,-75.5292739868164
1,-1.5,-1.44,3424.562633984375,-73.8970947265625,-73.7420654296875
2,-1.5,-1.38,3241.76824296875,-75.07006072998047,-71.86500549316406
3,-1.5,-1.3199999999999998,3052.0367931640626,-76.24580383300781,-69.89476013183594
4,-1.5,-1.26,2856.1514765625,-77.42161560058594,-67.82833099365234
5,-1.5,-1.2,2655.483750390625,-78.59320068359375,-65.66281127929688
6,-1.5,-1.14,2451.72135,-79.75662994384766,-63.39595413208008
7,-1.5,-1.0799999999999998,2248.9660021484374,-80.90687561035156,-61.02555847167969
8,-1.5,-1.02,2066.7179447265626,-82.03907775878906,-58.54978942871094
9,-1.5,-0.96,1921.0066924804687,-83.14783477783203,-55.96807861328125
10,-1.5,-0.8999999999999999,1794.008770703125,-84.22698974609375,-53.28007507324219
11,-1.5,-0.84,1669.1205569335937,-85.2707748413086,-50.48614501953125
12,-1.5,-0.7799999999999999,1540.1250177734375,-86.27272033691406,-47.58787155151367
13,-1.5,-0.72,1399.4317609375,-87.22611236572266,-44.587646484375
14,-1.5,-0.6599999999999999,1243.9443395507813,-88.12422180175781,-41.48863220214844
15,-1.5,-0.6,1088.7669466796874,-88.96051025390625,-38.29562759399414
16,-1.5,-0.5399999999999999,947.5745802246093,-89.72823333740234,-35.01408004760742
17,-1.5,-0.48,831.3032186523437,-90.42111206054688,-31.650577545166016
18,-1.5,-0.42,747.6921537597656,-91.03349304199219,-28.21329116821289
19,-1.5,-0.36,683.4048682617188,-91.55934143066406,-24.71082878112793
20,-1.5,-0.3,623.5762656982422,-91.99442291259766,-21.153091430664062
21,-1.5,-0.24,565.4468886230469,-92.33407592773438,-17.550765991210938
22,-1.5,-0.18,508.9902180175781,-92.57542419433594,-13.915188789367676
23,-1.5,-0.12,449.17290307617185,-92.71610260009766,-10.258221626281738
24,-1.5,-0.06,388.84754216308596,-92.75466918945312,-6.592111587524414
25,-1.5,0.0,329.43895251464846,-92.69087219238281,-2.9291951656341553
