,alpha,beta,loss,x,y
0,-1.5,-1.5,0.9728976108551025,-49.42500305175781,-20.316181182861328
1,-1.5,-1.44,1.3056995880126954,-49.769866943359375,-19.912431716918945
2,-1.5,-1.38,1.8229595642089844,-50.125762939453125,-19.485254287719727
3,-1.5,-1.3199999999999998,2.496593470001221,-50.49327850341797,-19.033689498901367
4,-1.5,-1.26,3.2231837074279786,-50.872718811035156,-18.55626106262207
5,-1.5,-1.2,3.978813084411621,-51.26470947265625,-18.0516357421875
6,-1.5,-1.14,4.779698961639404,-51.66983413696289,-17.51823616027832
7,-1.5,-1.0799999999999998,6.204021728515625,-52.088836669921875,-16.95428466796875
8,-1.5,-1.02,10.222271266174316,-52.52251434326172,-16.35783576965332
9,-1.5,-0.96,17.99901242675781,-52.971641540527344,-15.726689338684082
10,-1.5,-0.8999999999999999,31.874431811523436,-53.43677520751953,-15.058565139770508
11,-1.5,-0.84,56.46132457275391,-53.918296813964844,-14.351463317871094
12,-1.5,-0.7799999999999999,100.0071954345703,-54.41571044921875,-13.603941917419434
13,-1.5,-0.72,169.38425871582032,-54.92741394042969,-12.815807342529297
14,-1.5,-0.6599999999999999,273.86859130859375,-55.450225830078125,-11.98893928527832
15,-1.5,-0.6,420.039951953125,-55.979087829589844,-11.127649307250977
16,-1.5,-0.5399999999999999,601.4385546875,-56.50752258300781,-10.238880157470703
17,-1.5,-0.48,799.9539002929688,-57.027923583984375,-9.33082389831543
18,-1.5,-0.42,995.2924876953125,-57.53315734863281,-8.41179370880127
19,-1.5,-0.36,1170.3435412109375,-58.01716613769531,-7.488306999206543
20,-1.5,-0.3,1313.7321162109374,-58.475791931152344,-6.564164161682129
21,-1.5,-0.24,1420.11626328125,-58.90674591064453,-5.640358924865723
22,-1.5,-0.18,1487.3678962890624,-59.30902862548828,-4.715273857116699
23,-1.5,-0.12,1516.596651171875,-59.68263244628906,-3.785522699356079
24,-1.5,-0.06,1510.7011474609376,-60.027732849121094,-2.8464889526367188
25,-1.5,0.0,1473.091903515625,-60.344486236572266,-1.892810583114624
26,-1.5,0.06,1407.337859765625,-60.63243865966797,-0.918542206287384
27,-1.5,0.12,1316.7551556640626,-60.89082717895508,0.08238591253757477
28,-1.5,0.18,1204.2977734375,-61.11763000488281,1.1166036128997803
29,-1.5,0.24,1073.001604296875,-61.31024169921875,2.1907131671905518
30,-1.5,0.3,927.11560625,-61.464599609375,3.311758041381836
31,-1.5,0.36,773.3171748046875,-61.575538635253906,4.486757755279541
32,-1.5,0.42,614.5755430664062,-61.63658142089844,5.722720146179199
33,-1.5,0.48,455.2846193359375,-61.63968276977539,7.02641487121582
34,-1.5,0.5399999999999999,309.3010884277344,-61.575347900390625,8.403982162475586
35,-1.5,0.6,189.96417075195313,-61.43294143676758,9.860420227050781
36,-1.5,0.6599999999999999,102.409951171875,-61.20072937011719,11.399104118347168
37,-1.5,0.72,59.40052088623047,-60.86668395996094,13.02092456817627
38,-1.5,0.7799999999999999,33.537067736816404,-60.41898727416992,14.723821640014648
39,-1.5,0.84,13.285320141601563,-59.847503662109375,16.50188446044922
40,-1.5,0.8999999999999999,1.6494882677078246,-59.14433670043945,18.345186233520508
41,-1.5,0.96,0.1312546044588089,-58.305442810058594,20.23957633972168
42,-1.5,1.02,0.08245643262863159,-57.33148956298828,22.16702651977539
43,-1.5,1.0799999999999998,0.08126731662750245,-56.228492736816406,24.106586456298828
44,-1.5,1.14,0.08128432605266571,-55.00775146484375,26.035594940185547
45,-1.5,1.2,0.08129685611724853,-53.685394287109375,27.931238174438477
46,-1.5,1.26,0.08130774524211884,-52.281253814697266,29.772167205810547
47,-1.5,1.3199999999999998,0.08131720201969146,-50.817283630371094,31.539779663085938
48,-1.5,1.38,0.08132537708282471,-49.31610107421875,33.21919631958008
49,-1.5,1.44,0.08133242971897126,-47.79930877685547,34.799774169921875
50,-1.44,-1.5,0.7004251538276672,-48.613525390625,-20.687877655029297
51,-1.44,-1.44,0.8594155015945435,-48.94643020629883,-20.295696258544922
52,-1.44,-1.38,1.1223397476196288,-49.290130615234375,-19.88030242919922
53,-1.44,-1.3199999999999998,1.5476099407196044,-49.64488983154297,-19.440513610839844
54,-1.44,-1.26,2.1251998279571533,-50.011104583740234,-18.97513198852539
55,-1.44,-1.2,2.7412818496704103,-50.389251708984375,-18.482877731323242
56,-1.44,-1.14,3.3895462425231933,-50.77983856201172,-17.962289810180664
57,-1.44,-1.0799999999999998,4.135350156402588,-51.183441162109375,-17.411727905273438
