,alpha,beta,loss,x,y
0,-1.5,-1.5,1.0327755954742432,"tensor(0.3698, grad_fn=<MulBackward0>)","tensor(-0.2138, grad_fn=<MulBackward0>)"
1,-1.5,-1.2,1.0828703285217285,"tensor(0.3714, grad_fn=<MulBackward0>)","tensor(-0.2145, grad_fn=<MulBackward0>)"
2,-1.5,-0.8999999999999999,0.9614993583679199,"tensor(0.3627, grad_fn=<MulBackward0>)","tensor(-0.2104, grad_fn=<MulBackward0>)"
3,-1.5,-0.6,0.6448603954315185,"tensor(0.3133, grad_fn=<MulBackward0>)","tensor(-0.1716, grad_fn=<MulBackward0>)"
4,-1.5,-0.3,0.37977562618255617,"tensor(0.1792, grad_fn=<MulBackward0>)","tensor(-0.0524, grad_fn=<MulBackward0>)"
5,-1.5,0.0,0.4351857048034668,"tensor(0.0194, grad_fn=<MulBackward0>)","tensor(0.0745, grad_fn=<MulBackward0>)"
6,-1.5,0.3,0.35207697105407715,"tensor(-0.0874, grad_fn=<MulBackward0>)","tensor(0.1412, grad_fn=<MulBackward0>)"
7,-1.5,0.6,0.28405570755004883,"tensor(-0.1497, grad_fn=<MulBackward0>)","tensor(0.1713, grad_fn=<MulBackward0>)"
8,-1.5,0.8999999999999999,0.2709633590698242,"tensor(-0.1879, grad_fn=<MulBackward0>)","tensor(0.1861, grad_fn=<MulBackward0>)"
9,-1.5,1.2,0.2595707792282104,"tensor(-0.2129, grad_fn=<MulBackward0>)","tensor(0.1941, grad_fn=<MulBackward0>)"
10,-1.2,-1.5,1.0460627029418945,"tensor(0.3186, grad_fn=<MulBackward0>)","tensor(-0.1692, grad_fn=<MulBackward0>)"
11,-1.2,-1.2,1.0715086818695068,"tensor(0.3125, grad_fn=<MulBackward0>)","tensor(-0.1565, grad_fn=<MulBackward0>)"
12,-1.2,-0.8999999999999999,1.0815512718200684,"tensor(0.2995, grad_fn=<MulBackward0>)","tensor(-0.1424, grad_fn=<MulBackward0>)"
13,-1.2,-0.6,0.7406703063964843,"tensor(0.2522, grad_fn=<MulBackward0>)","tensor(-0.1222, grad_fn=<MulBackward0>)"
14,-1.2,-0.3,0.5455236667633057,"tensor(0.0515, grad_fn=<MulBackward0>)","tensor(0.0395, grad_fn=<MulBackward0>)"
15,-1.2,0.0,0.2535966167449951,"tensor(-0.1536, grad_fn=<MulBackward0>)","tensor(0.1786, grad_fn=<MulBackward0>)"
16,-1.2,0.3,0.2208589775085449,"tensor(-0.2235, grad_fn=<MulBackward0>)","tensor(0.2116, grad_fn=<MulBackward0>)"
17,-1.2,0.6,0.21422824306488036,"tensor(-0.2538, grad_fn=<MulBackward0>)","tensor(0.2211, grad_fn=<MulBackward0>)"
18,-1.2,0.8999999999999999,0.19676581916809083,"tensor(-0.2702, grad_fn=<MulBackward0>)","tensor(0.2239, grad_fn=<MulBackward0>)"
19,-1.2,1.2,0.1813227937221527,"tensor(-0.2801, grad_fn=<MulBackward0>)","tensor(0.2244, grad_fn=<MulBackward0>)"
20,-0.8999999999999999,-1.5,0.9510168689727784,"tensor(0.2489, grad_fn=<MulBackward0>)","tensor(-0.1216, grad_fn=<MulBackward0>)"
21,-0.8999999999999999,-1.2,1.0304321674346923,"tensor(0.2183, grad_fn=<MulBackward0>)","tensor(-0.0828, grad_fn=<MulBackward0>)"
22,-0.8999999999999999,-0.8999999999999999,0.9111197273254394,"tensor(0.1541, grad_fn=<MulBackward0>)","tensor(-0.0054, grad_fn=<MulBackward0>)"
23,-0.8999999999999999,-0.6,0.2979345830917358,"tensor(-0.0018, grad_fn=<MulBackward0>)","tensor(0.1566, grad_fn=<MulBackward0>)"
24,-0.8999999999999999,-0.3,0.09101218618154526,"tensor(-0.3043, grad_fn=<MulBackward0>)","tensor(0.3385, grad_fn=<MulBackward0>)"
25,-0.8999999999999999,0.0,0.017952283612777536,"tensor(-0.3852, grad_fn=<MulBackward0>)","tensor(0.3086, grad_fn=<MulBackward0>)"
26,-0.8999999999999999,0.3,0.025606366635113953,"tensor(-0.3698, grad_fn=<MulBackward0>)","tensor(0.2887, grad_fn=<MulBackward0>)"
27,-0.8999999999999999,0.6,0.03763049873560667,"tensor(-0.3578, grad_fn=<MulBackward0>)","tensor(0.2736, grad_fn=<MulBackward0>)"
28,-0.8999999999999999,0.8999999999999999,0.04973550807833672,"tensor(-0.3499, grad_fn=<MulBackward0>)","tensor(0.2631, grad_fn=<MulBackward0>)"
29,-0.8999999999999999,1.2,0.059099918496608735,"tensor(-0.3444, grad_fn=<MulBackward0>)","tensor(0.2556, grad_fn=<MulBackward0>)"
30,-0.6,-1.5,0.5055148363113403,"tensor(0.1745, grad_fn=<MulBackward0>)","tensor(-0.0900, grad_fn=<MulBackward0>)"
31,-0.6,-1.2,0.4953563545227051,"tensor(0.1231, grad_fn=<MulBackward0>)","tensor(-0.0431, grad_fn=<MulBackward0>)"
32,-0.6,-0.8999999999999999,0.365475341796875,"tensor(0.0146, grad_fn=<MulBackward0>)","tensor(0.0528, grad_fn=<MulBackward0>)"
33,-0.6,-0.6,0.35545489473342895,"tensor(-0.2250, grad_fn=<MulBackward0>)","tensor(0.2345, grad_fn=<MulBackward0>)"
34,-0.6,-0.3,0.009490056345607593,"tensor(-0.4644, grad_fn=<MulBackward0>)","tensor(0.4033, grad_fn=<MulBackward0>)"
35,-0.6,0.0,0.00446844165166509,"tensor(-0.5022, grad_fn=<MulBackward0>)","tensor(0.3937, grad_fn=<MulBackward0>)"
36,-0.6,0.3,0.003450478840011627,"tensor(-0.4686, grad_fn=<MulBackward0>)","tensor(0.3502, grad_fn=<MulBackward0>)"
37,-0.6,0.6,0.0043426624457959025,"tensor(-0.4373, grad_fn=<MulBackward0>)","tensor(0.3196, grad_fn=<MulBackward0>)"
38,-0.6,0.8999999999999999,0.006552345830727973,"tensor(-0.4149, grad_fn=<MulBackward0>)","tensor(0.2993, grad_fn=<MulBackward0>)"
39,-0.6,1.2,0.010832138498465064,"tensor(-0.3990, grad_fn=<MulBackward0>)","tensor(0.2852, grad_fn=<MulBackward0>)"
40,-0.3,-1.5,0.24585355920791627,"tensor(0.1041, grad_fn=<MulBackward0>)","tensor(-0.0747, grad_fn=<MulBackward0>)"
41,-0.3,-1.2,0.13785640959739684,"tensor(0.0439, grad_fn=<MulBackward0>)","tensor(-0.0349, grad_fn=<MulBackward0>)"
42,-0.3,-0.8999999999999999,0.11036316003799439,"tensor(-0.0641, grad_fn=<MulBackward0>)","tensor(0.0400, grad_fn=<MulBackward0>)"
43,-0.3,-0.6,0.06596436800956726,"tensor(-0.2664, grad_fn=<MulBackward0>)","tensor(0.1747, grad_fn=<MulBackward0>)"
