,communication_round,participant,loss,acc,norm
985,88.0,6.0,3.746452366129879,0.8965986394557823,113.9205322265625
986,88.0,7.0,3.576304468480258,0.9003610108303249,113.96257781982422
987,88.0,8.0,3.3321619357919188,0.9154196486662329,114.0440673828125
988,88.0,9.0,5.028101046206587,0.8742937853107344,114.12348937988281
989,88,g,4.920155087706447,0.8907,114.1464614868164
990,89.0,0.0,3.9541397416630586,0.9046887009992314,114.04571533203125
991,89.0,1.0,7.335639171211087,0.8612244897959184,114.0884780883789
992,89.0,2.0,4.425800151992262,0.9013157894736842,114.14997863769531
993,89.0,3.0,4.483144926167575,0.8917445482866043,113.92418670654297
994,89.0,4.0,4.079016606885058,0.898854961832061,114.18428802490234
995,89.0,5.0,5.045986806429349,0.8840236686390532,114.07758331298828
996,89.0,6.0,3.560300958257954,0.9047619047619048,113.94635772705078
997,89.0,7.0,3.4441752829706624,0.9104693140794223,113.98419952392578
998,89.0,8.0,3.326160982411134,0.9089134677944047,114.00167083740234
999,89.0,9.0,4.58012982546273,0.885593220338983,114.12271881103516
1000,89,g,4.824792297564109,0.8919,114.1347885131836
1001,90.0,0.0,4.089525395773815,0.9000768639508071,114.0477294921875
1002,90.0,1.0,6.932503595157545,0.8551020408163266,114.08538055419922
1003,90.0,2.0,4.491371821938899,0.8859649122807017,114.12189483642578
1004,90.0,3.0,3.9571548232002143,0.8987538940809969,113.92817687988281
1005,90.0,4.0,4.272483459865774,0.9026717557251909,114.16104125976562
1006,90.0,5.0,5.151867062338358,0.8875739644970414,114.06196594238281
1007,90.0,6.0,3.2322928808680196,0.9115646258503401,113.95073699951172
1008,90.0,7.0,3.3462104819382166,0.9140794223826715,113.98397064208984
1009,90.0,8.0,3.0615764870871858,0.9160702667534157,113.97297668457031
1010,90.0,9.0,4.872099006243345,0.8771186440677966,114.12744903564453
1011,90,g,4.737114341394595,0.8927,114.12017822265625
1012,91.0,0.0,4.000202326931412,0.9016141429669485,114.00029754638672
