,epoch0_participant0,epoch1_participant0,epoch2_participant0,epoch3_participant0,epoch4_participant0,epoch5_participant0,epoch6_participant0,epoch7_participant0,epoch8_participant0,epoch9_participant0,epoch10_participant0,epoch11_participant0,epoch12_participant0,epoch13_participant0,epoch14_participant0,epoch15_participant0,epoch16_participant0,epoch17_participant0,epoch18_participant0,epoch19_participant0,epoch20_participant0
0,0.017582182,-0.120747365,-0.106413774,-0.073854096,-0.058294397,-0.057972137,-0.061693672,-0.069359325,-0.037835483,-0.02009264,0.010035201,0.040677227,0.062345054,0.07638797,0.09231082,0.09959762,0.10214111,0.123207085,0.13498607,0.14713423,0.16875829
1,-0.0112657,-0.060878087,-0.027535098,-0.007630914,0.009624417,0.05322858,0.07132067,0.08885213,0.09723167,0.08821301,0.092049934,0.10208471,0.111712664,0.11491104,0.13994446,0.13921738,0.14519377,0.15043257,0.14927422,0.13711537,0.15998958
2,-0.022756208,-0.1074552,-0.0952461,-0.1151006,-0.12583807,-0.11234541,-0.12325106,-0.107749596,-0.10202107,-0.100656874,-0.093944505,-0.08273156,-0.063033774,-0.07455229,-0.070016764,-0.070975535,-0.06268919,-0.06887164,-0.07296734,-0.08635598,-0.092944734
3,-0.03065136,-0.12055658,-0.084962256,-0.06778884,-0.0805691,-0.10454247,-0.13029051,-0.1434868,-0.14228247,-0.16046754,-0.16669536,-0.17726602,-0.19212186,-0.20949973,-0.20738474,-0.21270695,-0.21921763,-0.20219238,-0.19963005,-0.1997457,-0.20514633
4,-0.0013441086,-0.037397847,0.009963016,-0.0018733874,-0.0122904135,-0.018949505,-0.049991943,-0.062300444,-0.08137883,-0.111980334,-0.1316866,-0.13756816,-0.15069675,-0.17157248,-0.18287261,-0.18916517,-0.18633153,-0.18575446,-0.1846595,-0.19348149,-0.19015789
5,0.0010567189,-0.11835789,-0.13041636,-0.16170053,-0.18670538,-0.19634682,-0.20291123,-0.20093578,-0.20761621,-0.21019568,-0.20336969,-0.1900694,-0.17510496,-0.17529699,-0.17598948,-0.170085,-0.16658902,-0.16660216,-0.1573726,-0.15259874,-0.14008668
6,-0.03228881,-0.089325204,-0.010302159,0.064787045,0.10311182,0.123454586,0.13021345,0.14232232,0.14579919,0.13324358,0.12732634,0.121699356,0.11653703,0.10888622,0.10391443,0.098536,0.1062176,0.11877564,0.12868862,0.13536853,0.14125508
7,-0.014838609,-0.07051728,-0.032702282,-0.013090252,-0.008807045,-0.011211328,-0.015040919,0.0032867438,0.005935781,0.01356584,0.0070622973,0.025400642,0.04502436,0.056212217,0.05823487,0.06712845,0.07395332,0.08701318,0.091252014,0.100782506,0.10802751
8,-0.017604476,-0.12660238,-0.141658,-0.16948201,-0.19375469,-0.22819515,-0.2356928,-0.23680697,-0.25151682,-0.26630554,-0.27888215,-0.27945098,-0.27634588,-0.28144932,-0.28683108,-0.2900538,-0.2915022,-0.2989342,-0.3084684,-0.30988148,-0.31345898
9,0.02677776,0.18333949,0.13185017,0.11790868,0.11077747,0.076733835,0.0773703,0.047895074,0.02418786,0.024439357,0.028572476,0.032785498,0.039294917,0.035399515,0.027331207,0.026547065,0.013214786,0.013351081,-0.0019090351,0.006959439,-0.021990687
10,-0.00024545492,0.32731134,0.3579803,0.34667063,0.335686,0.3159725,0.3022907,0.28576398,0.26140577,0.23374742,0.21452227,0.19212,0.18900704,0.18632744,0.17140645,0.17166235,0.1616096,0.15447949,0.14683355,0.14964093,0.14030372
11,0.012428102,0.15754291,0.2120436,0.21231118,0.22304626,0.2247776,0.2229739,0.23905805,0.2575264,0.25855383,0.24804749,0.22605409,0.221178,0.23172438,0.23556402,0.22352014,0.24530382,0.2443112,0.26519856,0.26674876,0.27626708
12,0.017723385,0.22702771,0.0866894,0.009060856,-0.040942352,-0.070419036,-0.07433995,-0.079141445,-0.08202362,-0.0729616,-0.055942535,-0.04038476,-0.029568708,-0.028181754,-0.020500157,-0.010988331,-0.016107062,-0.012704701,-0.010249266,0.018420309,0.01789045
13,0.0093409745,0.40842605,0.41495144,0.38192266,0.3455527,0.33856162,0.32571545,0.32306963,0.31990546,0.3171554,0.3171337,0.31148496,0.3172145,0.33842194,0.3435585,0.34415844,0.33779663,0.34587288,0.3458418,0.3362759,0.33351958
14,-0.0034045905,-0.0022089323,-0.0050053746,-0.04452255,-0.050682288,-0.03136927,-0.031686105,-0.038294435,-0.043854132,-0.050559405,-0.059873115,-0.06963972,-0.07939063,-0.06688811,-0.06692714,-0.107138805,-0.110270604,-0.12100323,-0.12964748,-0.113636106,-0.09597272
15,-0.02479059,0.23161162,0.17765261,0.1499394,0.14457203,0.14635189,0.13138725,0.13995537,0.14111817,0.11444369,0.11549947,0.090988114,0.07879866,0.06726167,0.0551644,0.03852357,0.038959518,0.02252281,0.019461729,0.039065354,0.042980377
16,0.012399176,0.38945076,0.40168703,0.40321922,0.38431588,0.38756162,0.37358642,0.37338123,0.36056045,0.34512395,0.3241462,0.31056705,0.30390742,0.30798826,0.3028761,0.29957184,0.3067778,0.30529404,0.29332656,0.3033358,0.312338
17,-0.0031706602,-0.08156106,-0.09565011,-0.10513889,-0.120424464,-0.13166589,-0.14108157,-0.14386605,-0.14870055,-0.14717884,-0.1584654,-0.14518994,-0.15015158,-0.14646234,-0.12971906,-0.14468744,-0.14098988,-0.15741712,-0.17218922,-0.16576153,-0.15250409
18,-0.008990014,-0.10741612,-0.13279337,-0.13420022,-0.13107082,-0.12498495,-0.11274732,-0.1063481,-0.11001572,-0.12541448,-0.13503863,-0.14253578,-0.15735143,-0.15957426,-0.16811897,-0.14929639,-0.16506584,-0.16157924,-0.15127878,-0.15866701,-0.15617181
19,-0.0013154626,-0.04292377,-0.0853531,-0.1110792,-0.12701418,-0.14647624,-0.17806466,-0.19821043,-0.22068708,-0.23439637,-0.2533962,-0.27055767,-0.28877455,-0.30007258,-0.31929713,-0.30790398,-0.3180701,-0.29973754,-0.31389946,-0.30311853,-0.29806057
20,-0.0261944,0.027853716,0.010624798,0.009464876,0.005239351,-0.0041053793,-0.018446628,-0.031759318,-0.027766507,-0.025698617,-0.021827413,-0.017872553,-0.008112012,-0.004019105,0.014974917,0.031745035,0.029118236,0.07176171,0.042844046,0.05435251,0.016151011
21,-0.0003016144,-0.072349094,-0.08836858,-0.10060397,-0.1083077,-0.11268953,-0.118232004,-0.11844227,-0.113461114,-0.12899229,-0.13851662,-0.12525158,-0.10798994,-0.09583984,-0.09962122,-0.09880807,-0.10493948,-0.10823883,-0.079813175,-0.08038944,-0.026956096
22,-0.030907506,-0.087329924,-0.12832595,-0.16115679,-0.19109517,-0.21601701,-0.2267131,-0.23171161,-0.24367024,-0.24460422,-0.22517577,-0.19770464,-0.19460297,-0.17377235,-0.16942343,-0.15797251,-0.16487592,-0.17628804,-0.19786212,-0.1914356,-0.17557356
23,0.0013482779,0.0718916,0.08804947,0.12445206,0.15038972,0.180063,0.19847207,0.21001726,0.2105379,0.21295585,0.21455662,0.209439,0.19688173,0.18971038,0.2016144,0.18343626,0.18791904,0.18675338,0.16595449,0.17923991,0.16997035
24,-0.0148788495,-0.034764964,-0.000357259,0.0026332166,0.010075483,0.016368682,0.027956339,0.017448684,0.025533518,0.03082649,0.04532706,0.04090364,0.049626272,0.08663105,0.077221125,0.07698596,0.093058415,0.09665466,0.11207689,0.1265112,0.13282788
