,vec1,vec2
0,-0.046868294,-0.49950284
1,-0.28481215,-0.30768996
2,-0.33264673,-0.1399538
3,-0.43724933,-0.38762286
4,-0.20479086,-0.24585602
5,0.13122761,0.43016922
6,-0.16760051,0.008555528
7,-0.5496944,-0.74373364
8,-0.05032623,-0.11175215
9,0.04822868,-0.28950208
10,-0.47061557,-0.4416352
11,-0.30340526,-0.39929065
12,-0.18220174,-0.031139433
13,-0.20821789,-0.28232262
14,-0.5244554,-0.26583168
15,-0.13904099,0.22319193
16,-0.37900576,-0.2763764
17,-0.21436064,-0.27679658
18,-0.37258264,-0.37353104
19,-0.6583022,-0.3508192
20,0.2822589,0.59126514
21,-0.016697675,0.5618997
22,-0.20532826,-0.57084227
23,0.49416095,0.104208305
24,-0.3740726,0.08383888
25,-0.36304966,-0.50290155
26,-0.7574185,-0.46345755
27,-0.39885715,-0.6624619
28,0.29529297,-0.01398297
29,-0.44926715,-0.18146658
30,-0.6477174,-0.7770883
31,-0.26747766,-0.22216016
32,-0.7576179,-0.7786788
33,0.59113157,0.6813308
34,0.4687139,0.5913763
35,0.1766215,0.57500273
36,-0.40247944,-0.39498514
37,-0.06955263,0.06215146
38,0.3658693,0.3987015
39,-0.5071533,-0.5262097
40,0.08225566,0.46842954
41,-0.03505367,0.22299966
42,-0.7104556,-0.67479765
43,-0.23220159,0.10418539
44,-0.31962773,0.22589079
45,-0.111582845,-0.28830972
46,0.18904364,0.04633469
47,0.14773917,0.4463137
48,-0.3375512,-0.75265896
49,-0.98805344,-1.0766675
50,-0.79585874,-0.31572053
51,-0.052806556,-0.12590522
52,-0.011154734,-0.28266975
53,-0.892094,-0.84548414
54,-0.14076564,0.123018526
55,0.24111065,0.7051883
56,-0.07555557,-0.16034594
57,-0.4003024,-0.25187573
58,-0.47369626,-0.233177
59,-0.22053945,-0.6587072
60,-0.04332745,-0.59157157
61,-0.53395104,-0.9741719
62,-0.14630426,0.0045081824
63,-0.8453723,-0.2754769
64,-0.15487795,-0.09619434
65,-0.53615385,-0.46537626
66,0.0027899146,0.41771448
67,-0.15189496,-0.36914387
68,-0.43541953,-0.20479009
69,0.34681344,0.8087555
70,0.447303,0.429982
71,-0.5955929,-0.88218343
72,-0.12405427,0.0366116
73,0.09596981,0.18844868
74,-0.08088127,-0.18572739
75,-0.08038709,-0.121203326
76,-0.33557224,-0.042469885
77,-0.33771026,-0.2623935
78,-0.21542127,-0.11972137
79,-0.23895343,-0.11311952
80,-0.21199355,-0.09105288
81,-0.03607922,-0.14826965
82,-0.28225958,-0.08023762
83,0.044471793,0.10349937
84,0.14465237,0.020777874
85,-0.10021924,-0.18475375
86,0.1684349,0.14575323
87,0.36540115,0.39631444
88,0.028867576,-0.007323917
89,-0.044092156,-0.18577278
90,-0.1091577,-0.2083681
91,0.039956093,0.014102196
92,0.094619915,0.11986229
93,-0.15467107,-0.119389944
94,-0.17723739,-0.260036
95,0.39437875,0.42174435
96,0.3283227,0.34921432
97,0.1079911,-0.061222788
98,-0.28964418,-0.16763473
99,-0.2613431,-0.14725491
100,-0.20977059,-0.07294188
101,-0.0106667,0.11144728
102,-0.021734267,-0.09915325
103,-0.0876544,-0.006145142
104,0.38603222,0.30133575
105,0.15697902,0.17476285
106,0.1419586,0.14725646
107,-0.121739514,-0.2800727
108,-0.31836617,-0.33789402
109,-0.14367813,-0.12470588
110,-0.07895758,-0.11990342
111,-0.42174256,-0.3935013
112,-0.23406556,-0.19160196
113,0.38112882,0.29051107
114,0.16241705,0.12228378
115,-0.060837485,0.031029813
116,-0.1709198,-0.28196862
117,-0.35369736,-0.310381
118,-0.039902188,-0.19955719
119,0.061901487,0.042420357
120,0.012376606,0.10208076
121,0.068994895,0.12924084
122,-0.05515657,0.0037624203
123,0.10532023,0.09541621
124,0.22056341,0.16692874
125,-0.2356403,-0.120542295
126,-0.45622197,-0.42587954
127,-0.35027912,-0.2395486
128,-0.24401155,-0.24779502
129,-0.1938968,-0.08297145
130,-0.32678813,-0.46715477
131,0.20072255,0.2709065
132,0.21706837,0.3878838
133,0.06272092,-0.03828281
134,-0.40287858,-0.38367283
135,-0.231422,-0.28872806
136,-0.03493195,-0.18866926
137,-0.03683459,-0.084954485
138,0.021170814,0.0053519346
139,-0.15193927,-0.34641045
140,0.25002062,0.10545189
141,0.13884684,0.1344876
142,0.029451616,0.03846219
143,-0.2576092,-0.17701405
144,-0.05663617,-0.08743016
145,-0.2025525,-0.13463658
146,-0.08861033,-0.06261227
147,-0.37249774,-0.240686
148,-0.34928983,-0.44568396
149,0.036524244,0.07437941
150,-0.024334952,0.017313063
151,-0.07510687,-0.20216635
152,0.048973285,0.021518052
153,-0.10025943,-0.05200725
154,-0.1477474,-0.11448113
155,0.026428115,0.05372521
156,0.061215475,-0.005648941
157,-0.067477636,-0.11962917
158,0.3183396,0.20922928
159,-0.13778646,0.021115854
160,-0.22800384,-0.128651
161,-0.10362937,-0.08386628
162,-0.048740894,-0.1039912
163,0.06775564,0.043089133
164,0.01470661,0.051471606
165,0.12786238,0.112183124
166,0.06983068,-0.104175024
167,0.016973563,-0.037067316
168,0.047556132,0.10252134
169,-0.20055151,-0.058413424
170,0.22235847,0.087703705
171,-0.31646013,-0.27887088
172,-0.0032948405,-0.08535595
173,0.10605955,0.12520514
174,-0.21416585,-0.065257795
175,-0.19924656,-0.35038233
176,0.16251677,0.108916484
177,-0.046499282,-0.18222943
178,-0.16471052,-0.1877271
179,-0.020852745,-0.21805507
180,-0.25255716,-0.21812922
181,0.1235897,0.19867057
182,0.24316607,0.25361225
183,0.14560673,0.058634967
184,-0.120318584,-0.1369035
185,0.2378614,0.12707677
186,0.13851613,0.11714251
187,-0.07455837,-0.22577348
188,0.1986455,0.2508117
189,-0.05876132,-0.19588706
190,-0.45066464,-0.57420003
191,0.40081394,0.39131856
192,0.101117924,0.14094569
193,-0.06990949,-0.06649194
194,0.4770792,0.39874086
195,0.20541847,0.08196781
196,-0.04229083,-0.049376056
197,-0.025635174,-0.021715416
198,-0.11320907,0.028857067
199,0.009484405,-0.061463006
200,0.094134554,0.19164374
201,-0.027672134,0.021071218
202,-0.14539102,-0.014643453
203,0.10049097,0.22927743
204,0.13015741,0.123776406
205,0.071667016,-0.03490698
206,0.22472277,0.06284687
207,0.022000715,0.00810419
208,-0.014132023,-0.23004067
209,0.05537563,0.2674984
210,0.09890225,0.19925627
211,-0.013343953,-0.069768436
212,0.051109225,0.1950292
213,0.19023311,0.2608089
214,0.20492592,0.06131856
215,-0.23293145,-0.27586177
216,-0.17343765,-0.20629597
217,0.031125324,-0.06819352
218,0.08978072,0.19099298
219,-0.031886883,-0.19636625
220,-0.33233678,-0.3301666
221,0.07740757,-0.011151329
222,-0.02860158,0.051702723
223,-0.2542621,-0.09490106
224,0.22831398,0.33827025
225,0.011378489,-0.015299134
226,-0.086593576,-0.19247092
227,0.12102141,0.05386372
228,-0.28163996,-0.110805966
229,-0.2178247,-0.18802693
230,0.09386143,0.2642472
231,-0.31710273,-0.2823951
232,-0.11969984,-0.1465478
233,0.32944855,0.3284428
234,-0.06762627,-0.14502792
235,-0.23727085,-0.10026569
236,0.28478053,0.23875093
237,-0.3829284,-0.35843167
238,-0.046192348,-0.1332107
239,-0.16259104,-0.19729711
240,-0.30590248,-0.25173113
241,-0.16790414,-0.11897168
242,0.1405192,0.2189421
243,0.13466665,0.071999036
244,-0.102305874,0.019538771
245,0.17293441,0.25066638
246,0.030460507,-0.19724189
247,-0.030928366,-0.09843121
248,-0.115346834,-0.027296092
249,-0.0073229074,-0.13307314
250,-0.018026702,-0.0036469027
251,0.13478257,0.23522407
252,0.30617753,0.3797459
253,0.09163018,0.08529433
254,0.09028113,0.1612634
255,0.26478216,0.12632097
256,0.09094098,-0.022352666
257,0.2527995,0.2695003
258,0.07025345,0.04990588
259,-0.13729486,-0.2163989
260,-0.020698693,-9.7256154e-05
261,0.08725428,0.14553222
262,-0.1489521,-0.05999335
263,0.25467804,0.3300586
264,0.16599432,9.523332e-05
265,-0.0047171563,-0.044048995
266,0.115778595,0.12397523
267,0.017802648,-0.11130339
268,-0.18127407,-0.2669422
269,0.2319452,0.23293006
270,-0.11486148,-0.23512897
271,-0.23761325,-0.27697676
272,0.21577734,0.3066028
273,-0.16654775,-0.012332201
274,-0.05545471,0.059719287
275,-0.067898005,-0.09424007
276,-0.10749316,0.072233565
277,-0.01016392,-0.07182094
278,0.26818356,0.21374793
279,-0.1437146,-0.24723296
280,-0.003378328,-0.018626403
281,0.19164518,0.16857105
282,-0.1549825,-0.12645559
283,0.028373566,0.04963818
284,-0.12895375,0.014401089
285,-0.057456054,-0.08397587
286,0.013547933,0.006137533
287,0.29602483,0.2492612
288,-0.21952991,-0.20564324
289,-0.079860926,-0.035396066
290,-0.10071696,-0.042864993
291,-0.13972473,-0.35993844
292,0.0075502545,0.039249405
293,-0.026424259,-0.09612088
294,-0.2713992,-0.30726302
295,0.17350118,0.14652497
296,-0.010039829,0.026466124
297,0.099750295,0.116551235
298,-0.32698488,-0.13290176
299,-0.0016109468,0.09878585
300,-0.037173368,0.019802816
301,0.070697725,0.13056447
302,-0.033075504,-0.12503435
303,-0.033731423,-0.03776633
304,0.019937277,0.046603695
305,-0.041036986,-0.2291337
306,-0.08286784,-0.19225928
307,-0.23633242,-0.09017975
308,-0.14017269,-0.19856802
309,0.03519766,-0.032451108
310,0.12238737,0.043805175
311,-0.1937742,-0.18928683
312,0.19863257,0.17844883
313,-0.024725698,-0.026355095
314,0.09347229,-0.01696081
315,-0.19834723,-0.009840131
316,-0.19587456,-0.09695562
317,-0.04293473,-0.049147412
318,-0.24835375,-0.13638371
319,-0.024971284,0.00013371557
320,-0.103539966,-0.24812095
321,-0.07527685,-0.04806401
322,0.14926541,0.13027233
323,-0.015605427,0.040099792
324,0.070261836,-0.09125802
325,-0.17816564,-0.14087397
326,0.028070813,0.024037456
327,0.24493077,0.13220331
328,-0.17181437,-0.07603398
329,-0.032216407,-0.046014003
330,-0.06766697,-0.08219725
331,-0.11655906,-0.04438661
332,0.3039408,0.1387028
333,-0.09692771,-0.0645412
334,-0.0075893253,-0.015160754
335,0.21891451,0.050257683
336,-0.21717876,-0.247359
337,-0.25110906,-0.37502834
338,0.08808642,0.06857439
339,-0.207632,-0.26516104
340,-0.0059615886,0.10116623
341,-0.06723271,-0.019774998
342,0.012636468,0.20629609
343,0.0404898,-0.14127967
344,-0.02439199,0.10750157
345,-0.18660316,-0.13622594
346,0.06860828,0.050417818
347,-0.10099545,0.016610214
348,-0.01824851,0.09411856
349,0.050943978,0.17379716
350,0.093852155,-0.017794564
351,-0.14126414,-0.014603373
352,-0.035368428,-0.12608674
353,-0.08784638,-0.17950146
354,0.12044863,-0.021967575
355,0.17178524,-0.0049682036
356,-0.18026261,-0.022179775
357,0.15300418,0.25581408
358,0.27077672,0.32791027
359,-0.284039,-0.22248915
360,-0.0028339624,-0.13393784
361,-0.013237156,-0.0033429489
362,-0.111339554,-0.04230365
363,-0.0126794055,0.18835539
364,0.031106647,-0.015455712
365,0.005782064,0.050934892
366,0.064141944,-0.1006945
367,0.06599878,0.19055824
368,-0.180689,-0.10281874
369,-0.11242317,0.060948435
370,-0.049621705,-0.16392595
371,-0.24882185,-0.19005749
372,-0.23369056,-0.12545913
373,0.22860529,0.32516152
374,-0.16026513,-0.015102826
375,-0.023910947,-0.10830831
376,0.016469408,-0.11516993
377,-0.17046136,-0.15846246
378,-0.16519591,-0.19045928
379,-0.020418182,-0.14780101
380,-0.069691315,-0.014184441
381,0.03452079,0.050446443
382,0.30766478,0.084415965
383,-0.06630267,-0.06071608
384,-0.06640595,-0.19620036
385,0.14362851,0.24495569
386,-0.1201283,-0.21712399
387,-0.2654129,-0.09148649
388,-0.066323,-0.04686926
389,-0.17959571,-0.1576558
390,0.042929295,-0.066675976
391,0.07377403,0.19767597
392,0.02682297,0.065363646
393,-0.33879507,-0.189486
394,-0.07574784,0.044951506
395,-0.08553462,0.043183643
396,0.08965798,0.11412448
397,-0.17547023,-0.07596723
398,0.066200696,0.22946152
399,0.10078418,-0.008155772
400,-0.01730366,0.08839443
401,0.19472253,0.08780798
402,-0.033580784,0.120993815
403,0.14086956,0.030701622
404,-0.11595157,-0.14488722
405,-0.05540868,0.02679959
406,-0.06437441,0.08372549
407,-0.100096226,-0.17433944
408,-0.25266996,-0.11802768
409,-0.065017976,0.04362403
410,-0.01055697,-0.04975539
411,-0.2606722,-0.2831205
412,-0.39111754,-0.36773106
413,0.031172812,-0.04381091
414,-0.077430144,-0.017105356
415,0.088661715,0.13753186
416,-0.2557911,-0.118801825
417,0.11415855,-0.06089949
418,0.29249105,0.29841247
419,0.1478363,0.09295868
420,-0.16277663,-0.05100534
421,-0.10826832,0.0006951317
422,-0.1642594,-0.09339492
423,-0.22789113,-0.07537436
424,-0.06950161,0.08907062
425,-0.10793962,-0.07333076
426,-0.19354646,0.0017986223
427,0.3284356,0.20696579
428,0.15582895,0.06471474
429,0.018970072,-0.07156961
430,-0.10187953,-0.11083328
431,-0.25857633,-0.13647452
432,-0.18493229,-0.011098072
433,-0.028546942,0.077940054
434,-0.16307524,-0.14770865
435,0.20483601,0.032810777
436,0.1201236,0.06360178
437,0.037339102,-0.105899885
438,-0.03867022,-0.16303478
439,-0.043197244,-0.09619102
440,0.16549948,0.05743952
441,-0.20380637,-0.03944917
442,0.098395884,0.23250884
443,-0.13478652,-0.10734463
444,-0.059099134,0.08388303
445,-0.23175615,-0.077552885
446,-0.10854168,0.05953353
447,-0.082296975,-0.10166615
448,-0.1899268,-0.058558337
449,-0.2249251,-0.037486978
450,-0.15803352,-0.09280724
451,0.40774643,0.36798972
452,-0.1056103,-0.042693682
453,0.17417663,0.04458066
454,0.16195752,0.08456661
455,0.14506096,0.026083574
456,0.06271273,0.07764272
457,-0.08232584,-0.08584688
458,-0.08712612,-0.07911337
459,-0.11267695,-0.069229536
460,0.3147596,0.15915793
461,0.16130316,0.12888062
462,-0.17345092,-0.21692893
463,-0.17845511,-0.19709396
464,-0.037130676,0.042217672
465,-0.12872344,-0.15830576
466,-0.3420062,-0.15644386
