,alpha,loss
0,-0.2,0.03624499342441559
1,-0.15,0.0361943874835968
2,-0.1,0.036182260918617246
3,-0.05,0.03618285791873932
4,0.0,0.03618086230754852
5,0.05,0.036177817893028257
6,0.1,0.03617568805217743
7,0.15,0.03617133138179779
8,0.2,0.036145937609672545
9,0.25,0.03605392937660217
10,0.3,0.0358122362613678
11,0.35,0.03530223960876465
12,0.4,0.03435056891441345
13,0.45,0.03273740015029907
14,0.5,0.03027871149778366
15,0.55,0.026801265692710876
16,0.6,0.022262634468078614
17,0.65,0.01696671922802925
18,0.7,0.01163276439011097
19,0.75,0.007205724707245826
20,0.8,0.004227277012169361
21,0.85,0.0025705613531172276
22,0.9,0.0017905002896208316
23,0.95,0.0015025884604256134
24,1.0,0.0014907622766477289
25,1.05,0.0016606951632760682
26,1.1,0.0019820022165163665
27,1.15,0.0024598248095396057
