,epoch0_participant0,epoch1_participant0,epoch2_participant0,epoch3_participant0,epoch4_participant0,epoch5_participant0
0,0.19613835,0.46442914,0.5259999,0.51573527,0.5070595,0.5245553
1,-0.024413943,-0.016069535,0.020970177,-0.026046818,-0.041418582,-0.04214851
2,0.021651149,0.04500403,0.08699684,0.1022649,0.13847344,0.13589579
3,-0.101149246,-0.051843483,0.07330523,0.065108426,0.07472632,0.11648395
4,0.011655778,-0.03834896,0.065621,0.045172803,0.06314355,0.069677874
5,-0.30427858,-0.37310946,-0.3386997,-0.33186752,-0.31093332,-0.29931667
6,0.14432216,0.015317022,0.13048105,0.14951657,0.15933843,0.18504511
7,-0.2526458,-0.38838536,-0.3383651,-0.34329832,-0.3632234,-0.35805914
8,0.0016486943,-0.19720803,-0.20038928,-0.20618337,-0.22270742,-0.19834644
9,0.21394,0.32671756,0.38609606,0.38453275,0.37606916,0.37336317
10,0.25504127,0.52550983,0.6067914,0.6378964,0.6424698,0.6550199
11,-0.042265177,-0.07484942,-0.15279299,-0.1888343,-0.19298348,-0.20238878
12,-0.3147474,-0.52508324,-0.52277553,-0.5173228,-0.56412256,-0.57467127
13,0.17461792,0.37319258,0.42330882,0.49729362,0.5231146,0.55105525
14,0.04461953,0.2022119,0.17603055,0.18063463,0.17933123,0.16049084
15,-0.10588762,-0.4286932,-0.4975386,-0.50917023,-0.5286659,-0.54672456
16,0.10080877,0.16754226,0.040878113,0.030311095,0.042313896,0.025652088
17,0.23493811,0.5459245,0.5100921,0.48665547,0.48571876,0.45105648
18,0.10989073,0.29075754,0.21738034,0.20292649,0.1881193,0.18439311
19,0.20928285,0.50127876,0.48814014,0.49248773,0.4955898,0.50878793
20,-0.07189894,-0.1507999,-0.1692803,-0.18285502,-0.19745137,-0.18198545
21,-0.2144185,0.04960093,0.07813141,0.10480834,0.110199146,0.10748846
22,-0.03606808,0.1633589,0.17216012,0.1745688,0.15220913,0.15485904
