,alpha,beta,loss
0,0,0,0.07344475388526917
1,0,1,0.06152302399277687
2,0,2,0.05137847363948822
3,0,3,0.04276714846491814
4,0,4,0.03557221591472626
5,0,5,0.029630905017256737
6,0,6,0.024720415472984314
7,0,7,0.020709142088890076
8,0,8,0.017489701509475708
9,0,9,0.0148853100836277
10,0,10,0.012765118852257729
11,0,11,0.01106300950050354
12,0,12,0.009724581614136696
13,0,13,0.008758055977523327
14,0,14,0.008185180835425854
15,0,15,0.008088295347988605
16,0,16,0.008621660061180592
17,0,17,0.009901699610054493
18,0,18,0.01207236759364605
19,0,19,0.014962110668420792
20,1,0,0.06391122192144394
21,1,1,0.053176142275333405
22,1,2,0.044119931757450104
23,1,3,0.03645912930369377
24,1,4,0.0300642978399992
25,1,5,0.024812668561935425
26,1,6,0.020509732887148857
27,1,7,0.016995754092931747
28,1,8,0.014191905036568642
29,1,9,0.011952660977840424
30,1,10,0.010150447487831116
31,1,11,0.008701828308403492
32,1,12,0.007582628633826971
33,1,13,0.006770297419279814
34,1,14,0.0062975166365504265
35,1,15,0.006239794194698334
36,1,16,0.006735067814588547
37,1,17,0.007926665246486664
38,1,18,0.009928222745656967
39,1,19,0.0125480517745018
40,2,0,0.0555734746158123
41,2,1,0.04588654264807701
42,2,2,0.03780674934387207
43,2,3,0.03101007081568241
44,2,4,0.025351596996188164
45,2,5,0.02073659747838974
46,2,6,0.016984108835458755
47,2,7,0.013926246203482151
48,2,8,0.01148267276585102
49,2,9,0.00955532118678093
50,2,10,0.00802685134112835
51,2,11,0.006813809275627136
52,2,12,0.005884550046175718
53,2,13,0.0052148401737213135
54,2,14,0.004834786523133516
55,2,15,0.0048293606378138065
56,2,16,0.0053237974643707275
57,2,17,0.006495986133813858
58,2,18,0.008431377820670605
59,2,19,0.010968009941279888
60,3,0,0.0483563207089901
61,3,1,0.03957752138376236
62,3,2,0.03232656419277191
63,3,3,0.02631448023021221
64,3,4,0.02134265936911106
65,3,5,0.01729183830320835
66,3,6,0.01400645449757576
67,3,7,0.011372221633791924
68,3,8,0.009265056811273098
69,3,9,0.007613515481352806
70,3,10,0.006318173836916685
71,3,11,0.0053178188391029835
72,3,12,0.00455380417406559
73,3,13,0.00401442451402545
74,3,14,0.003729471703991294
75,3,15,0.0037917045410722494
76,3,16,0.0043389806523919106
77,3,17,0.005590053740888834
78,3,18,0.0076196687296032906
79,3,19,0.010362538509070873
80,4,0,0.04205085709691048
81,4,1,0.03413299843668938
82,4,2,0.027623074129223824
83,4,3,0.02230183780193329
84,4,4,0.01793629676103592
85,4,5,0.014378605410456657
86,4,6,0.0115105751901865
87,4,7,0.00924011506140232
88,4,8,0.00744667137041688
89,4,9,0.006040791515260935
90,4,10,0.004958186764270067
91,4,11,0.004135923460125923
92,4,12,0.0035209101624786854
93,4,13,0.003105008043348789
94,4,14,0.0029239312279969454
95,4,15,0.003084017662331462
96,4,16,0.003774806158617139
97,4,17,0.005259588360786438
98,4,18,0.007652288768440485
99,4,19,0.01103061530739069
100,5,0,0.03659104183316231
101,5,1,0.029434436932206154
102,5,2,0.023601530119776726
103,5,3,0.01885923556983471
104,5,4,0.015033386647701263
105,5,5,0.011922319419682026
