,epoch,participant,training_loss,training_acc,test_loss,test_acc
0,0.0,0.0,0.036954618990421295,0.6098333597183228,0.010573959439992904,0.905
1,0.0,1.0,0.03625922277569771,0.6333333253860474,0.012513500720262527,0.879
2,0.0,2.0,0.04196598008275032,0.5544999837875366,0.015710903719067575,0.845
3,0.0,3.0,0.03974026441574097,0.5870000123977661,0.010507575128227472,0.903
4,0.0,4.0,0.03895726799964905,0.5789999961853027,0.016482869669795036,0.809
5,0.0,5.0,0.03595692291855812,0.6331666707992554,0.011250012278556824,0.899
6,0.0,6.0,0.0400758795440197,0.581333339214325,0.012646921336650848,0.88
7,0.0,7.0,0.031115697696805,0.6926666498184204,0.009806069128215312,0.908
8,0.0,8.0,0.03912460431456566,0.5901666879653931,0.0153005450963974,0.852
9,0.0,9.0,0.03933466225862503,0.5889999866485596,0.014353525474667549,0.872
10,1.0,0.0,0.008665433153510094,0.9156666398048401,0.007526963967829942,0.924
11,1.0,1.0,0.009189670905470848,0.9106666445732117,0.0061289823949337,0.946
12,1.0,2.0,0.010279894806444645,0.8948333263397217,0.0077636601626873015,0.932
13,1.0,3.0,0.008587084710597992,0.9123333096504211,0.00498082413431257,0.95
14,1.0,4.0,0.01158355362713337,0.8794999718666077,0.009998018354177475,0.892
15,1.0,5.0,0.008419500663876534,0.92166668176651,0.005480558257550001,0.95
16,1.0,6.0,0.009238244965672493,0.9121666550636292,0.007082710579037667,0.926
17,1.0,7.0,0.007356363348662853,0.9308333396911621,0.0054463753383606674,0.949
18,1.0,8.0,0.010999182239174843,0.8923333287239075,0.00839627805352211,0.919
19,1.0,9.0,0.010844189673662186,0.8901666402816772,0.00695718877017498,0.931
20,2.0,0.0,0.005745660047978163,0.9433333277702332,0.0049895976260304455,0.952
21,2.0,1.0,0.006278831511735916,0.9401666522026062,0.004510496146976948,0.964
22,2.0,2.0,0.006498726550489664,0.9330000281333923,0.005950455475598574,0.952
23,2.0,3.0,0.00576415890827775,0.9416666626930237,0.0036128842122852803,0.963
24,2.0,4.0,0.007732015568763018,0.922166645526886,0.008033749055117369,0.917
25,2.0,5.0,0.0053142462857067585,0.9511666893959045,0.004314676355570555,0.957
26,2.0,6.0,0.006094307638704777,0.9388333559036255,0.0053304418176412585,0.946
27,2.0,7.0,0.005295243579894304,0.9480000138282776,0.0039943981487303975,0.965
28,2.0,8.0,0.007111959625035524,0.9279999732971191,0.006373806342482567,0.941
29,2.0,9.0,0.007148625794798136,0.9290000200271606,0.00547630712017417,0.947
30,3.0,0.0,0.004416353069245815,0.9586666822433472,0.004507428358774632,0.951
31,3.0,1.0,0.004564258735626936,0.956166684627533,0.003909131054766476,0.969
32,3.0,2.0,0.005134691018611193,0.9448333382606506,0.004980128236114979,0.953
33,3.0,3.0,0.004202445037662983,0.9568333625793457,0.0032332324916496875,0.969
34,3.0,4.0,0.005806077737361193,0.9384999871253967,0.005757791290991008,0.946
35,3.0,5.0,0.004020376596599817,0.9593333601951599,0.003802516922354698,0.955
36,3.0,6.0,0.0047556865029037,0.953000009059906,0.004855557821691036,0.949
37,3.0,7.0,0.004283255897462368,0.9578333497047424,0.003801984347868711,0.962
38,3.0,8.0,0.005378732457756996,0.9449999928474426,0.005371361117810011,0.94
39,3.0,9.0,0.005371349863708019,0.9465000033378601,0.00407739738561213,0.959
40,4.0,0.0,0.0038248859345912933,0.9620000123977661,0.004186985341832042,0.957
41,4.0,1.0,0.003796140430495143,0.9635000228881836,0.0036838161889463663,0.967
42,4.0,2.0,0.0040929121896624565,0.9580000042915344,0.004864161130040884,0.952
43,4.0,3.0,0.0035037286579608917,0.9651666879653931,0.0030209122246596964,0.966
44,4.0,4.0,0.004588705487549305,0.9526666402816772,0.006268001582473516,0.94
45,4.0,5.0,0.003311282256618142,0.9693333506584167,0.0036426642909646034,0.957
46,4.0,6.0,0.004056091420352459,0.9595000147819519,0.004056375269778073,0.961
47,4.0,7.0,0.0032762896735221148,0.9674999713897705,0.0033396114786155523,0.974
48,4.0,8.0,0.0043798950500786304,0.9571666717529297,0.004153506701812148,0.953
49,4.0,9.0,0.004129937384277582,0.9564999938011169,0.0034386126305907963,0.962
