,alpha,beta,loss
0,0,0,0.24584512412548065
1,0,1,0.20596829056739807
2,0,2,0.1717439442873001
3,0,3,0.14247405529022217
4,0,4,0.1177961528301239
5,0,5,0.09694307297468185
6,0,6,0.07947196066379547
7,0,7,0.06493976712226868
8,0,8,0.052971985191106796
9,0,9,0.04318905249238014
10,0,10,0.035181496292352676
11,0,11,0.028666915372014046
12,0,12,0.023520175367593765
13,0,13,0.019548092037439346
14,0,14,0.016544032841920853
15,0,15,0.014307251200079918
16,0,16,0.012714003212749958
17,0,17,0.011783545836806297
18,0,18,0.0115195969119668
19,0,19,0.011922281235456467
20,1,0,0.20372691750526428
21,1,1,0.16935382783412933
22,1,2,0.14004670083522797
23,1,3,0.11514361202716827
24,1,4,0.09425432980060577
25,1,5,0.07687625288963318
26,1,6,0.06238825246691704
27,1,7,0.050462208688259125
28,1,8,0.04073809087276459
29,1,9,0.03285123407840729
30,1,10,0.026444341987371445
31,1,11,0.02128148265182972
32,1,12,0.01725597493350506
33,1,13,0.014215447939932346
34,1,14,0.011971780098974705
35,1,15,0.010362818837165833
36,1,16,0.009280987083911896
37,1,17,0.008781344629824162
38,1,18,0.008895176462829113
39,1,19,0.009721132926642895
40,2,0,0.16794586181640625
41,2,1,0.1383858472108841
42,2,2,0.11343351751565933
43,2,3,0.09239522367715836
44,2,4,0.07485581934452057
45,2,5,0.0603889599442482
46,2,6,0.04849287495017052
47,2,7,0.03879193216562271
48,2,8,0.030970877036452293
49,2,9,0.024676749482750893
50,2,10,0.019606534391641617
51,2,11,0.01557163242250681
52,2,12,0.012475809082388878
53,2,13,0.010187750682234764
54,2,14,0.008558209054172039
55,2,15,0.007449108175933361
56,2,16,0.006789821665734053
57,2,17,0.006668297573924065
58,2,18,0.007188339252024889
59,2,19,0.008636366575956345
60,3,0,0.137702077627182
61,3,1,0.11243067681789398
62,3,2,0.09123530983924866
63,3,3,0.07359912991523743
64,3,4,0.05899622663855553
65,3,5,0.047042425721883774
66,3,6,0.03734048455953598
67,3,7,0.02949322573840618
68,3,8,0.02323034033179283
69,3,9,0.018264155834913254
70,3,10,0.014315146952867508
71,3,11,0.011223371140658855
72,3,12,0.008894464001059532
73,3,13,0.007211689837276936
74,3,14,0.006068565882742405
75,3,15,0.005360450129956007
76,3,16,0.0050713918171823025
77,3,17,0.005344314035028219
78,3,18,0.0064492910169065
79,3,19,0.00897192396223545
80,4,0,0.11235833913087845
81,4,1,0.09081337600946426
82,4,2,0.07294203341007233
83,4,3,0.05819389596581459
84,4,4,0.04613745957612991
85,4,5,0.03632298856973648
86,4,6,0.028444986790418625
87,4,7,0.022155916318297386
88,4,8,0.017190713435411453
89,4,9,0.013313700444996357
90,4,10,0.010293523781001568
91,4,11,0.0079693254083395
92,4,12,0.006259913090616465
93,4,13,0.005060459952801466
94,4,14,0.0043087126687169075
95,4,15,0.003947114106267691
96,4,16,0.0040338062681257725
97,4,17,0.004858625587075949
98,4,18,0.007016896270215511
99,4,19,0.011313213035464287
100,5,0,0.09115201234817505
101,5,1,0.07297415286302567
102,5,2,0.05799159035086632
103,5,3,0.04574412852525711
104,5,4,0.03579419478774071
105,5,5,0.027773471549153328
106,5,6,0.02140858955681324
107,5,7,0.016428934410214424
108,5,8,0.012540899217128754
109,5,9,0.00956299901008606
110,5,10,0.0072931465692818165
111,5,11,0.005584430880844593
112,5,12,0.004363156855106354
113,5,13,0.003559182630851865
114,5,14,0.0031390271615236998
115,5,15,0.003119590226560831
116,5,16,0.003724191337823868
117,5,17,0.005566501058638096
118,5,18,0.009597227908670902
119,5,19,0.015996120870113373
120,6,0,0.07364189624786377
121,6,1,0.05833638831973076
122,6,2,0.04578631371259689
123,6,3,0.035639021545648575
124,6,4,0.027509713545441628
125,6,5,0.021033719182014465
126,6,6,0.01594376564025879
127,6,7,0.012023800984025002
128,6,8,0.00902886688709259
129,6,9,0.006782288197427988
130,6,10,0.005108739249408245
131,6,11,0.0038842475041747093
132,6,12,0.0030520467553287745
133,6,13,0.0025767905171960592
134,6,14,0.0024767012801021338
135,6,15,0.002927501453086734
136,6,16,0.004509167280048132
137,6,17,0.00828082300722599
138,6,18,0.014706793241202831
139,6,19,0.0221451073884964
140,7,0,0.05925237387418747
141,7,1,0.046368375420570374
142,7,2,0.03592551127076149
143,7,3,0.027568062767386436
144,7,4,0.020958302542567253
145,7,5,0.01577480509877205
146,7,6,0.011763498187065125
147,7,7,0.00871402956545353
148,7,8,0.006434294860810041
149,7,9,0.004767413716763258
150,7,10,0.003559371456503868
151,7,11,0.0027169606182724237
152,7,12,0.002204290824010968
153,7,13,0.0020389454439282417
154,7,14,0.002375497715547681
155,7,15,0.00374898174777627
156,7,16,0.007286017760634422
157,7,17,0.013689511455595493
158,7,18,0.02138308808207512
159,7,19,0.027888352051377296
160,8,0,0.04748399928212166
161,8,1,0.03668320178985596
162,8,2,0.028047189116477966
163,8,3,0.02121329866349697
164,8,4,0.015866700559854507
165,8,5,0.011742066591978073
166,8,6,0.008605731651186943
167,8,7,0.00627121003344655
168,8,8,0.004562792833894491
169,8,9,0.003343022894114256
170,8,10,0.0024979752488434315
171,8,11,0.0019662922713905573
172,8,12,0.0017539859982207417
173,8,13,0.002002324676141143
174,8,14,0.0032170028425753117
175,8,15,0.006550838239490986
176,8,16,0.012899616733193398
177,8,17,0.020774303004145622
178,8,18,0.027508383616805077
179,8,19,0.03201012685894966
180,9,0,0.03792736679315567
181,9,1,0.028917739167809486
182,9,2,0.0217996034771204
183,9,3,0.016235794872045517
184,9,4,0.011945266276597977
185,9,5,0.008690522983670235
186,9,6,0.006269240751862526
187,9,7,0.004502820782363415
188,9,8,0.003238946432247758
189,9,9,0.0023713281843811274
190,9,10,0.0018229724373668432
191,9,11,0.0015804240247234702
192,9,12,0.0017659231089055538
193,9,13,0.002859434811398387
194,9,14,0.006026347167789936
195,9,15,0.012302620336413383
196,9,16,0.020288167521357536
197,9,17,0.027203109115362167
198,9,18,0.031837593764066696
199,9,19,0.03444429486989975
200,10,0,0.03023221157491207
201,10,1,0.022746214643120766
202,10,2,0.016885247081518173
203,10,3,0.012389171868562698
204,10,4,0.008975912816822529
205,10,5,0.006427810061722994
206,10,6,0.004572768229991198
207,10,7,0.003247430780902505
208,10,8,0.0023355595767498016
209,10,9,0.0017587017500773072
210,10,10,0.0014907626900821924
211,10,11,0.001632539788261056
212,10,12,0.002641963539645076
213,10,13,0.005680244415998459
214,10,14,0.011874278075993061
215,10,15,0.019910788163542747
216,10,16,0.0269523523747921
217,10,17,0.03169817477464676
218,10,18,0.03436923399567604
219,10,19,0.035630274564027786
220,11,0,0.024064047262072563
221,11,1,0.017858823761343956
222,11,2,0.013082497753202915
223,11,3,0.009462551213800907
224,11,4,0.006759726908057928
225,11,5,0.004780788905918598
226,11,6,0.003366686636582017
227,11,7,0.002392650581896305
228,11,8,0.0017731302650645375
229,11,9,0.001473912037909031
230,11,10,0.0015823337016627192
231,11,11,0.0025381750892847776
232,11,12,0.005487810354679823
233,11,13,0.011599007062613964
234,11,14,0.01963653974235058
235,11,15,0.0267514456063509
236,11,16,0.031583014875650406
237,11,17,0.03430899605154991
238,11,18,0.03560052067041397
239,11,19,0.036090753972530365
240,12,0,0.019210107624530792
241,12,1,0.014072326943278313
242,12,2,0.01017430517822504
243,12,3,0.007266412489116192
244,12,4,0.005136048886924982
245,12,5,0.0036049545742571354
246,12,6,0.0025448042433708906
247,12,7,0.0018656514585018158
248,12,8,0.0015277441125363111
249,12,9,0.0016100893262773752
250,12,10,0.002539051929488778
251,12,11,0.00543793523684144
252,12,12,0.011471780017018318
253,12,13,0.01946777105331421
254,12,14,0.02660524658858776
255,12,15,0.03148995339870453
256,12,16,0.034261658787727356
257,12,17,0.03557685390114784
258,12,18,0.036074765026569366
259,12,19,0.036197736859321594
260,13,0,0.015392094850540161
261,13,1,0.011150294914841652
262,13,2,0.007981996051967144
263,13,3,0.005649434868246317
264,13,4,0.0039686234667897224
265,13,5,0.0027995221316814423
266,13,6,0.0020433992613106966
267,13,7,0.0016567420680075884
268,13,8,0.0017173143569380045
269,13,9,0.0026451752055436373
270,13,10,0.005532262846827507
271,13,11,0.011495028622448444
272,13,12,0.019411927089095116
273,13,13,0.026525070890784264
274,13,14,0.03142624720931053
275,13,15,0.03422645851969719
276,13,16,0.03556089848279953
277,13,17,0.03606455773115158
278,13,18,0.036189790815114975
279,13,19,0.03620631620287895
280,14,0,0.012441843748092651
281,14,1,0.00893919263035059
282,14,2,0.006353519856929779
283,14,3,0.004483162425458431
284,14,4,0.003175743157044053
285,14,5,0.0023237483110278845
286,14,6,0.0018791856709867716
287,14,7,0.0019184427801519632
288,14,8,0.0028642199467867613
289,14,9,0.005771431606262922
290,14,10,0.011668529361486435
291,14,11,0.019472409039735794
292,14,12,0.0265212245285511
293,14,13,0.03140493854880333
294,14,14,0.03420958295464516
295,14,15,0.03555333986878395
296,14,16,0.03606101870536804
297,14,17,0.036185260862112045
298,14,18,0.036201111972332
299,14,19,0.03620990738272667
300,15,0,0.010231247171759605
301,15,1,0.007318269461393356
302,15,2,0.005208213813602924
303,15,3,0.0037253242917358875
304,15,4,0.0027480877470225096
305,15,5,0.002226149896159768
306,15,6,0.0022408710792660713
307,15,7,0.0032181942369788885
308,15,8,0.00616351468488574
309,15,9,0.011990281753242016
310,15,10,0.019643373787403107
311,15,11,0.026588229462504387
312,15,12,0.0314255952835083
313,15,13,0.03421372175216675
314,15,14,0.03555421903729439
315,15,15,0.036063969135284424
316,15,16,0.036184486001729965
317,15,17,0.036199022084474564
318,15,18,0.0362064428627491
319,15,19,0.03621684014797211
320,16,0,0.008660154417157173
321,16,1,0.006227137986570597
322,16,2,0.004506936762481928
323,16,3,0.0033650847617536783
324,16,4,0.002741338685154915
325,16,5,0.002724727150052786
326,16,6,0.003741923486813903
327,16,7,0.006731030065566301
328,16,8,0.012460490688681602
329,16,9,0.01991531252861023
330,16,10,0.026711519807577133
331,16,11,0.031477589160203934
332,16,12,0.034234147518873215
333,16,13,0.03556286543607712
334,16,14,0.036070581525564194
335,16,15,0.03618600592017174
336,16,16,0.03620025888085365
337,16,17,0.03620511293411255
338,16,18,0.03621554747223854
339,16,19,0.036222271621227264
340,17,0,0.007623594719916582
341,17,1,0.005596429109573364
342,17,2,0.004238842986524105
343,17,3,0.00348384166136384
344,17,4,0.003423360176384449
345,17,5,0.00448191724717617
346,17,6,0.007497455459088087
347,17,7,0.013082432560622692
348,17,8,0.020282184705138206
349,17,9,0.026884455233812332
350,17,10,0.03155054152011871
351,17,11,0.034264206886291504
352,17,12,0.03557489439845085
353,17,13,0.03607825189828873
354,17,14,0.036189571022987366
355,17,15,0.03620283305644989
356,17,16,0.03620732203125954
357,17,17,0.03621535003185272
358,17,18,0.036222364753484726
359,17,19,0.03623924404382706
360,18,0,0.0071122972294688225
361,18,1,0.005479298997670412
362,18,2,0.004547833930701017
363,18,3,0.004419974982738495
364,18,4,0.005501501262187958
365,18,5,0.008499438874423504
366,18,6,0.013876831158995628
367,18,7,0.0207554679363966
368,18,8,0.02710915543138981
369,18,9,0.031642358750104904
370,18,10,0.0342986024916172
371,18,11,0.035586465150117874
372,18,12,0.03608454763889313
373,18,13,0.036195144057273865
374,18,14,0.03620661795139313
375,18,15,0.03621147572994232
376,18,16,0.03621889278292656
377,18,17,0.03622495383024216
378,18,18,0.03623137250542641
379,18,19,0.036285124719142914
380,19,0,0.007243090774863958
381,19,1,0.006083131302148104
382,19,2,0.005855970084667206
383,19,3,0.00691482238471508
384,19,4,0.009816442616283894
385,19,5,0.014892630279064178
386,19,6,0.02135770581662655
387,19,7,0.0273918267339468
388,19,8,0.03175509721040726
389,19,9,0.034335680305957794
390,19,10,0.035595089197158813
391,19,11,0.03608955815434456
392,19,12,0.03620133548974991
393,19,13,0.03621133789420128
394,19,14,0.036215439438819885
395,19,15,0.03622230887413025
396,19,16,0.03622867539525032
397,19,17,0.03622857481241226
398,19,18,0.0362669974565506
399,19,19,0.03642560914158821
