,vec1,vec2
0,0.05492997,0.043720454
1,0.20155159,0.072125345
2,0.09179127,-0.25277317
3,0.32189968,-0.028939128
4,-0.17596063,0.068440884
5,0.14458168,0.14736238
6,0.14394107,-0.07023308
7,-0.008083552,-0.18653688
8,-0.012595922,-0.28544995
9,0.011455655,-0.1517795
10,0.0025385916,0.06807074
11,0.32689694,-0.19003284
12,0.16075373,-0.2118601
13,-0.1277723,-0.26783308
14,0.16607952,-0.018185645
15,0.10347548,-0.30878156
16,0.17471471,0.18582311
17,-0.122932404,-0.2716357
18,0.1568023,-0.020431548
19,0.026233822,-0.22184214
20,0.13181436,0.23103335
21,-0.29455817,-0.038148373
22,-0.12109201,-0.21369998
23,0.25361654,0.14795932
24,0.014134735,-0.1864532
25,-0.04530409,0.13184759
26,0.31122795,0.06007135
27,0.08454025,0.21960852
28,0.20412788,0.27387765
29,0.32624546,-0.23861122
30,0.31459585,0.23471537
31,-0.15202853,-0.093346596
32,0.18696633,-0.0015386641
33,0.07511175,0.29450026
34,0.20685402,0.115727395
35,0.23359254,0.23323098
36,0.30983695,0.12934208
37,-0.11205813,-0.2614054
38,-0.050765127,0.26493636
39,0.19802675,-0.004300803
40,-0.19792633,0.19935676
41,0.24033287,-0.16545486
42,0.2987955,0.15631315
43,0.06637272,0.2412906
44,0.1020422,0.14409506
45,0.05799529,-0.3053833
46,0.12856123,0.094494104
47,-0.24258594,-0.11866014
48,-0.014935583,0.060985714
49,-0.17178893,-0.1244688
50,-0.31752783,-0.023998886
51,0.11708391,-0.22542498
52,0.287295,0.1860579
53,-0.133329,0.31219932
54,0.12721035,-0.27192235
55,-0.1745683,-0.13148189
56,-0.21016555,-0.19010405
57,-0.13205811,-0.08015585
58,-0.16331153,0.061264664
59,-0.11658645,0.20323625
60,-0.051044673,-0.027339846
61,0.16350222,0.13932118
62,-0.106903,-0.17840335
63,-0.17742178,0.32254377
64,-0.18708453,-0.11326179
65,0.2745668,-0.29789644
66,-0.105712816,-0.23077664
67,0.25379285,0.004853457
68,0.08199236,0.15360212
69,0.12669298,-0.2150613
70,0.305101,0.040342093
71,0.29027298,-0.04390511
72,-0.055417806,0.15309635
