,vec1,vec2
0,0.14974883,0.30425444
1,0.024152488,0.058667183
2,0.16214517,0.036586046
3,0.08821201,0.26313052
4,-0.25984323,0.11653897
5,0.21837965,0.247107
6,-0.15609357,0.30593237
7,-0.31581485,0.18233272
8,0.036705166,-0.027640253
9,0.17631939,0.19216177
10,-0.06966433,0.3057268
11,-0.32834634,0.22451207
12,-0.04284966,-0.17838252
13,0.22965363,-0.2203188
14,-0.07553288,-0.2578814
15,-0.08294788,-0.18314628
16,0.1288614,0.12623322
17,0.25553253,-0.08509116
18,0.26796213,0.26963928
19,-0.24600673,0.18910614
20,0.09280011,-0.29910833
21,-0.004484564,-0.07050359
22,-0.08770475,-0.13180324
23,-0.20419721,-0.05990538
24,0.028904825,0.015892655
25,-0.019634932,0.051161736
26,-0.08487961,0.30714014
27,-0.30293304,-0.086851835
28,0.058464766,0.0058404505
29,0.25059572,-0.14069133
30,-0.30834055,0.08493152
31,0.20952216,-0.0049942434
32,-0.1968714,-0.12777357
33,-0.16944692,-0.025998682
34,0.28901586,-0.0043724477
35,0.29013422,0.13558698
36,0.32795134,0.00012025237
37,0.16716233,-0.040810972
38,-0.08296946,0.05745229
39,0.11344889,0.1740019
40,0.11231342,0.27092192
41,-0.071068525,0.1497306
42,-0.30180007,0.031005353
43,0.073022455,0.07268202
44,0.10421431,-0.07677624
45,-0.3176452,-0.32945988
46,0.32015118,-0.109612584
47,-0.32720894,-0.12587985
48,-0.17538941,-0.21029799
49,0.028368205,0.19826725
50,0.11330819,-0.20171413
51,0.090223074,0.3003278
52,-0.3326894,0.10720006
53,0.22073856,-0.14643312
54,0.026426196,0.0005711019
55,0.22251377,-0.30846474
56,-0.26143718,-0.28264272
57,-0.059672624,-0.031533957
58,-0.28939587,-0.10199666
59,0.057985663,-0.30269855
60,-0.2465115,0.31987318
61,-0.025618464,0.16758648
62,-0.12403655,0.02369979
63,-0.29977918,0.32492468
64,-0.08994782,0.05385402
65,0.047442526,-0.3165191
66,0.0020416677,-0.16118686
67,-0.075111,0.29266563
68,0.052213043,-0.28037232
69,0.052434474,0.27611116
70,-0.13691792,0.06561193
71,0.05127272,0.0671078
72,0.022067666,-0.07234192
73,0.03157416,0.10728291
74,0.24760547,0.059952468
75,0.07450855,-0.32433218
76,0.09252131,-0.049652666
77,0.02687034,-0.045773894
78,0.11110902,-0.21038696
79,0.06864098,0.12369573
80,0.11251765,0.034524195
81,0.11313266,-0.05330509
82,0.045089416,0.031421892
83,-0.07622273,-0.010856196
84,-0.03992863,0.022371314
85,-0.007392995,0.109384306
86,0.10369877,-0.05433382
87,-0.0067405477,-0.11334372
88,-0.003506504,-0.11381945
89,0.101170324,-0.035177
90,-0.056086384,0.06990067
91,0.07427261,0.1126431
92,0.084706,-0.11040683
93,0.08805705,0.10345697
94,0.05416324,-0.05711731
95,0.012621053,0.04005394
96,0.107807286,-0.022961885
97,0.07335367,-0.010801055
98,-0.015035227,0.10842577
99,0.059121616,0.030535154
100,0.09855711,0.06817093
101,-0.010229304,-0.059034668
102,0.05196864,-0.06975967
103,0.10624442,0.11455228
104,0.06537867,0.07501886
105,-0.095424086,-0.02898828
106,-0.06988036,0.030018173
107,0.058054753,0.053459547
108,0.0406147,-0.032811143
109,-0.065942705,0.029214807
110,-0.0031048283,-0.084878236
111,0.030417405,-0.02920036
112,-0.019708052,0.06837302
113,0.06695766,-0.071532324
114,0.0040885285,0.11096401
115,-0.08894531,0.007163666
116,-0.0066126883,0.06521245
117,-0.03858193,0.06626394
118,-0.00044936687,-0.104328945
119,-0.07550934,-0.050517693
120,-0.04954344,0.09067813
121,0.030890785,0.08293175
122,0.074559055,0.085223965
123,0.066609986,0.1100607
124,0.02922047,0.098178975
125,0.08398948,-0.008749351
126,-0.0535976,-0.03992065
127,-0.009714119,0.084311895
128,-0.10003387,-0.10644232
129,0.0845247,0.036134653
130,-0.050181165,0.012300976
131,0.060292058,0.016182818
132,-0.08720455,0.11253991
133,0.01767335,-0.037454262
134,-0.06431313,-0.01193843
135,-0.024385996,-0.006888382
136,0.072461195,0.057632767
137,-0.021480717,-0.026659131
138,0.005448334,0.0469966
139,-0.07437777,0.0744322
140,0.047816478,0.043430008
141,0.047365002,-0.067585796
142,-0.04169047,-0.07466334
143,-0.101961955,0.09356608
144,-0.02136074,0.049828716
145,-0.059309397,-0.10648272
146,0.090448596,-0.012878895
147,0.017245464,0.031930454
148,0.08055679,-0.026794463
149,0.050980322,-0.087900355
150,0.11651514,0.067390226
151,-0.06274941,-0.09138982
152,-0.064443894,0.06584241
153,-0.029066265,-0.11042685
154,0.03902725,-0.034677275
155,-0.025611997,-0.07045753
156,-0.016600743,0.0419577
157,-0.08394307,-0.08815161
158,-8.1487e-05,0.10759721
159,-0.06612775,0.07721179
160,-0.10326075,-0.11546478
161,0.063920535,-0.070685536
162,-0.11730106,-0.09385094
163,0.082680084,0.03348384
164,0.0317652,0.03839978
165,-0.06994447,0.040824614
166,-0.09097794,-0.104602
167,0.059298553,-0.09610289
168,0.01864802,-0.103858724
169,-0.009158634,-0.08190167
170,0.10735742,0.1030514
171,0.08823877,0.08311669
172,0.07507124,-0.05723986
173,0.04406967,0.08334454
174,-0.071722046,-0.041602857
175,0.07303078,0.07242849
176,-0.031610347,0.054569356
177,-0.039883308,-0.10664239
178,-0.021680169,0.023258306
179,-0.11188818,-0.092519835
180,0.052710332,0.02506169
181,0.031287275,-0.10669558
182,-0.07348423,0.09711731
183,0.09584048,-0.096991025
184,-0.055759832,0.02212485
185,0.077881865,-0.022974022
186,-0.06073122,0.03838118
187,0.021380581,-0.0016452447
188,0.113808654,0.017363302
189,-0.106607474,-0.0058647767
190,0.054751195,0.059646733
191,-0.039854847,0.046948455
192,-0.11520313,-0.11691113
193,-0.012865268,-0.0077555925
194,0.024206437,-0.017039537
195,-0.10495874,0.018070988
196,-0.06669344,0.057113387
197,-0.026148506,0.026925974
198,-0.071389824,0.0063866824
199,-0.031255834,-0.11475946
200,-0.11595459,0.1164693
201,-0.027916543,-0.07795334
202,-0.024797536,0.10326991
203,0.11408264,-0.006538421
204,0.03988167,0.015961356
205,-0.026473291,-0.0048118755
206,-0.05799526,0.08273315
207,0.04113891,-0.046075173
208,0.105492435,-0.047021985
209,0.0058290362,0.10062472
210,0.05518546,-0.062032644
211,-0.018250398,-0.039846882
212,0.08035325,0.0072718486
213,0.07477655,-0.049953148
214,0.000737302,-0.010986641
215,0.033980243,-0.03486613
216,0.04204393,-0.11011842
217,0.10906594,-0.030066647
218,-0.065360054,-0.018698521
219,-0.031776503,-0.095045835
220,0.11330726,0.06574852
221,0.05801504,0.10776464
222,0.07111933,-0.0013857856
223,-0.026915722,-0.08185761
224,-0.10112353,-0.058516644
225,-0.023605146,-0.11173151
226,0.0103042945,0.108211584
227,0.05643054,0.11766293
228,0.011845566,-5.427003e-05
229,0.088396944,-0.03286902
230,-0.052341186,-0.083851956
231,0.00898587,0.08023482
232,-0.01874648,0.024472766
233,0.11539348,0.060838886
234,0.071604334,0.10857762
235,-0.10105859,-0.061535507
236,-0.06485312,0.077547364
237,0.050378688,0.045979016
238,-0.011723146,0.09889402
239,0.055415057,0.03409501
240,0.040623195,0.05218757
241,0.007094674,0.055571176
242,-0.04259865,-0.055145092
243,-0.069790825,-0.08733793
244,0.102790706,-0.10234351
245,-0.084814675,0.05663658
246,0.013623171,0.073699094
247,0.11150574,-0.03539505
248,-0.0074628145,0.0370922
249,-0.06455319,-0.11287717
250,-0.107078806,0.07141919
251,-0.048855953,0.10175725
252,0.11013541,-0.10286999
253,-0.0021327585,-0.0618988
254,0.03827373,0.018284895
255,-0.0037430301,-0.07088195
256,0.075912885,-0.047935188
257,0.08862526,0.0964626
258,0.030756302,0.00819809
259,0.060740717,0.09397747
260,-0.1038205,0.03872279
261,0.037464567,-0.035846397
262,-0.0443794,0.08319632
263,-0.091584004,-0.04723444
264,-0.0060939416,-0.11108082
265,-0.09669793,-0.07063636
266,-0.0035400242,0.033056207
267,-0.09664077,0.0056221783
268,0.10718941,-0.02048029
269,-0.024395622,-0.020934843
270,-0.0062111914,0.03319665
271,-0.08560054,0.037646808
272,0.10790426,-0.09936021
273,-0.061688025,-0.055849254
274,0.06599424,-0.06413604
275,-0.036100335,0.029119737
276,0.0691204,0.0852151
277,-0.0013173968,-0.095990166
278,-0.116863824,0.0501057
279,-0.0008731112,0.048538215
280,-0.06391759,-0.0071869344
281,-0.0048617795,-0.06581562
282,0.018635921,-0.037894808
283,0.0623677,-0.0075670704
284,-0.005826026,-0.02881454
285,-0.07802941,0.005024858
286,0.109177224,0.10009379
287,0.04329828,0.082520746
288,-0.07374369,-0.010286994
289,0.10934021,-0.017984524
290,-0.038586378,0.11775433
291,-0.06946277,0.05796673
292,-0.076255016,0.01918403
293,0.034238927,-0.049211167
294,-0.045891777,0.037559874
295,-0.03534825,-0.090771206
296,0.04729619,0.05247111
297,0.044298016,-0.009548239
298,0.008282177,0.072428666
299,0.083933465,-0.07406935
300,0.0988672,-0.03631243
301,0.072422974,-0.081253715
302,0.06898553,0.04482042
303,-0.04286489,-0.039703988
304,-0.01778739,-0.113985404
305,0.037794493,0.077262886
306,-0.116929986,0.09685611
307,-0.07331037,0.08667355
308,0.087860025,0.014056422
309,0.09021268,0.013095193
310,-0.055078596,-0.10205589
311,-0.008340217,-0.02489058
312,0.08653728,-0.11150421
313,0.084529065,-0.035001144
314,0.048719414,-0.053975977
315,0.079969086,0.047811143
316,-0.078434214,-0.10183624
317,-0.104545444,0.06954647
318,-0.05761442,0.083369054
319,-0.095624134,0.112878
320,-0.011691511,-0.09292549
321,0.036814474,0.116175435
322,0.06847059,0.11779339
323,-0.09582974,-0.027679406
324,-0.097910054,0.07314361
325,0.08369001,-0.08182219
326,0.08908593,-0.108062945
327,0.007833742,-0.073975615
328,-0.09756225,0.061474405
329,0.099714465,-0.01966124
330,0.055189528,-0.084058926
331,-0.052619256,-0.085322656
332,-0.10253401,0.108584546
333,-0.03377691,-0.097791076
