,Training loss,Training Acc,Test loss,Test Acc
0,0.006718444753934939,0.8628666666666667,0.002227696740720421,0.9572
1,0.0020321534141587716,0.9596,0.0013718186804209836,0.9722
2,0.0014918183592652593,0.9704166666666667,0.0009881405034277123,0.9797
3,0.0012151546436944046,0.9752666666666666,0.001040036807319848,0.9791
4,0.001045802417929129,0.9784666666666667,0.000832252083538333,0.983
