,alpha,loss
0,-0.2,0.03629460496902466
1,-0.15,0.036247757720947266
2,-0.1,0.03622915930747986
3,-0.05,0.036225980377197264
4,0.0,0.03621762011051178
5,0.05,0.036212519645690916
6,0.1,0.036207362818717954
7,0.15,0.036193282389640806
8,0.2,0.03615223395824432
9,0.25,0.036038500213623044
10,0.3,0.035790122842788694
11,0.35,0.03529829952716827
12,0.4,0.034409298658370974
13,0.45,0.03291678969860077
14,0.5,0.030598092353343962
15,0.55,0.02726613131761551
16,0.6,0.022861470115184784
17,0.65,0.017606376284360886
18,0.7,0.01217363796532154
19,0.75,0.007537552954256534
20,0.8,0.004363128020614386
21,0.85,0.0025978311974555256
22,0.9,0.0017793811962939798
23,0.95,0.0014893613632710185
24,1.0,0.0014907622766477289
25,1.05,0.0016807786696894254
26,1.1,0.002026133690625352
27,1.15,0.0025284419077866035
