,epoch5
0,0.22843713
1,0.36649632
2,0.1460272
3,0.57179576
4,0.30454713
5,-0.35008016
6,0.06020995
7,0.45461532
8,0.2587114
9,0.0737899
10,0.21301958
11,0.40579763
12,0.20991133
13,0.45364422
14,0.58776665
15,-0.0058919922
16,0.50971705
17,0.18038718
18,0.45965895
19,0.58733416
20,-0.3386464
21,-0.27975547
22,0.28408864
23,-0.22700162
24,0.2570616
25,0.24795818
26,0.41197205
27,0.53758717
28,0.030563643
29,0.30330312
30,0.5223949
31,0.3769025
32,0.5538757
33,-0.48038003
34,-0.4138618
35,-0.37420404
36,0.3388239
37,-0.10845944
38,-0.67712027
39,0.6599284
40,-0.35078254
41,-0.27482423
42,0.59018517
43,0.19770232
44,0.034306936
45,-0.05858599
46,0.08609349
47,-0.25273758
48,0.4568075
49,0.8492522
50,0.502517
51,-0.14915727
52,0.04093868
53,0.5097922
54,-0.010782579
55,-0.5309929
56,-0.10836282
57,0.3805264
58,0.24108699
59,0.4516356
60,0.32817942
61,0.70058703
62,0.14204696
63,0.527814
64,0.20254913
65,0.19329555
66,-0.33208787
67,0.09384824
68,0.4349253
69,-0.6106282
70,-0.13282526
71,0.67400026
72,-0.11278566
73,0.044521425
74,0.009671214
75,0.025843829
76,0.031986073
77,0.059887044
78,0.05652845
79,0.01747113
80,0.10909179
81,0.13653775
82,0.17165668
83,-0.08249794
84,-0.07361644
85,0.2005105
86,-0.20055771
87,-0.406277
88,0.026728904
89,0.08586284
90,0.08492694
91,-0.009752174
92,-0.04889665
93,0.15799634
94,0.19304019
95,-0.35034677
96,-0.27235422
97,-0.017697742
98,0.2738081
99,0.15129559
100,0.14752893
101,-0.011757328
102,-0.018089952
103,0.064363085
104,-0.3197515
105,-0.21422116
106,-0.111900054
107,0.23216356
108,0.304214
109,0.1415529
110,0.20047212
111,0.36293614
112,0.2399772
113,-0.30866042
114,-0.20360796
115,0.03754703
116,0.2063415
117,0.25544038
118,0.13806824
119,-0.15195096
120,-0.08688336
121,-0.09232419
122,0.008808895
123,-0.16018817
124,-0.28783628
125,0.20153795
126,0.34090504
127,0.269665
128,0.19393401
129,0.111627415
130,0.37921944
131,-0.2629705
132,-0.27736527
133,-0.07430649
134,0.34411344
135,0.34412736
136,0.14163409
137,0.00411022
138,-0.021219283
139,0.24646059
140,-0.16670978
141,-0.13142581
142,-0.14266157
143,0.18372194
144,0.06911403
145,0.17693186
146,0.16390601
147,0.28116837
148,0.36961895
149,-0.1602061
150,-0.0076316395
151,0.09597076
152,-0.07496739
153,0.14966528
154,0.13031712
155,-0.04690224
156,-0.04611316
157,0.16090265
158,-0.2020728
159,0.07599309
160,0.13609487
161,0.061143283
162,0.06900803
163,0.042365078
164,0.016311975
165,-0.033421498
166,0.003084947
167,0.044740397
168,-0.08550521
169,0.135742
170,-0.1335994
171,0.2786484
172,0.04619189
173,-0.17646848
174,0.16379417
175,0.24906626
176,-0.13709395
177,0.07115888
178,0.1206183
179,0.117416315
180,0.1799095
181,-0.10694538
182,-0.27373138
183,-0.07762399
184,0.11580453
185,-0.15252118
186,-0.06881699
187,0.18953432
188,-0.3151416
189,0.17154485
190,0.44356698
191,-0.31672654
192,-0.07606565
193,0.17777716
194,-0.48533186
195,-0.16004713
196,0.049840774
197,0.007936803
198,0.066103
199,-0.029015452
200,-0.14743753
201,-0.077935226
202,0.10498898
203,-0.2093686
204,-0.22000755
205,0.0020882508
206,-0.13292423
207,-0.12642702
208,0.11460021
209,-0.18540394
210,-0.13779952
211,0.07831521
212,-0.115792
213,-0.1456195
214,-0.09397698
215,0.19154145
216,0.27747238
217,0.04171301
218,-0.20613486
219,0.14337355
220,0.30718002
221,-0.093321316
222,-0.07261417
223,0.18463431
224,-0.34859237
225,0.058221865
226,0.1387813
227,-0.17534506
228,0.16306679
229,0.253379
230,-0.16322915
231,0.21782653
232,0.031108266
233,-0.33513087
234,0.057567067
235,0.16192338
236,-0.24446258
237,0.26403952
238,0.078322284
239,0.11157883
240,0.27517623
241,0.14776953
242,-0.25819036
243,-0.08409275
244,0.012348437
245,-0.2593311
246,0.07132193
247,0.12236617
248,0.028153382
249,0.09062498
250,0.102116294
251,-0.17794639
252,-0.28843454
253,-0.057878915
254,-0.22635323
255,-0.18557929
256,-0.08030451
257,-0.28876162
258,-0.13415594
259,0.11773443
260,0.021807134
261,-0.08543788
262,0.12592292
263,-0.35091197
264,-0.1084336
265,0.08783295
266,-0.21090534
267,0.06477017
268,0.19609822
269,-0.31769454
270,0.12557098
271,0.21593115
272,-0.22069617
273,0.0605483
274,0.0004736824
275,0.049017105
276,0.031507522
277,-0.016990934
278,-0.31445742
279,0.16225322
280,0.04615514
281,-0.15551937
282,0.089600384
283,0.008429315
284,0.054796048
285,0.04694307
286,-0.01830928
287,-0.20735826
288,0.1810923
289,0.03514825
290,0.072920196
291,0.2665351
292,-0.04405559
293,0.12671557
294,0.21376923
295,-0.1898708
296,0.056974247
297,-0.02012414
298,0.2289778
299,-0.004237963
300,0.036317885
301,-0.05013726
302,0.122826
303,0.12441996
304,-0.01885098
305,0.14578207
306,0.090146735
307,0.20119011
308,0.1586875
309,-0.009550418
310,-0.024631629
311,0.20727341
312,-0.122327775
313,-0.09250535
314,-0.0037240305
315,0.07856022
316,0.19654673
317,0.054781917
318,0.14907508
319,0.09170011
320,0.17146574
321,0.085054345
322,-0.11212287
323,-0.07199622
324,0.003860639
325,0.093053326
326,0.028835816
327,-0.12770332
328,0.08996883
329,0.08127191
330,0.03441538
331,0.053203136
332,-0.18561257
333,0.019301612
334,0.1158522
335,-0.12261974
336,0.16521613
337,0.25179994
338,-0.099665046
339,0.1681381
340,-0.0096665025
341,-0.0165637
342,-0.12130651
343,0.068352245
344,-0.0030989512
345,0.09439834
346,0.036823697
347,0.011954063
348,-0.028000461
349,-0.12217267
350,-0.06930678
351,0.059447996
352,0.05797947
353,0.11772894
354,-0.0756525
355,-0.08796022
356,0.082530625
357,-0.2652464
358,-0.23859987
359,0.26279956
360,0.069388255
361,0.055753745
362,0.065381356
363,-0.09221125
364,0.041520838
365,0.026197484
366,0.025779208
367,-0.090396784
368,0.09992274
369,0.018719552
370,0.0602339
371,0.14127596
372,0.11266633
373,-0.23151398
374,0.107713975
375,0.10720197
376,0.043682266
377,0.06433975
378,0.17530048
379,0.09614306
380,0.030879768
381,-0.059300967
382,-0.20370851
383,0.024189694
384,0.07065408
385,-0.15225315
386,0.11642002
387,0.15932666
388,0.04474456
389,0.08976225
390,-0.039834253
391,-0.16155033
392,0.02487829
393,0.23961127
394,0.06748986
395,-0.022173658
396,-0.028295804
397,0.14060634
398,-0.16597573
399,-0.03598635
400,-0.092518054
401,-0.17479882
402,-0.021251421
403,-0.10826525
404,0.0022381935
405,0.016750436
406,-0.01948095
407,0.07944184
408,0.19067699
409,0.013088936
410,0.053342458
411,0.254049
412,0.32284287
413,0.02812837
414,0.06514912
415,-0.061349154
416,0.12248994
417,-0.061328743
418,-0.24889491
419,-0.048527166
420,0.15033536
421,0.06761469
422,0.06903396
423,0.14716515
424,0.022713471
425,0.009490968
426,0.098160535
427,-0.26248688
428,-0.13369305
429,0.060731914
430,0.11491312
431,0.21408373
432,0.11047446
433,-0.0066910316
434,0.16862269
435,-0.15959147
436,-0.13887472
437,0.002958981
438,0.0777499
439,0.047007546
440,-0.05228266
441,0.092255354
442,-0.17529437
443,0.07766279
444,-0.03239524
445,0.11752223
446,0.031694528
447,0.065784454
448,0.14964347
449,0.12914808
450,0.089179814
451,-0.32906914
452,0.013411952
453,-0.08693053
454,-0.18243317
455,-0.021293318
456,-0.08728876
457,0.10697467
458,-0.024773728
459,0.05836684
460,-0.21103834
461,-0.09844339
462,0.2553003
463,0.18710797
464,0.056425728
465,0.16511638
466,0.22391431
467,-0.14165455
468,-0.04985255
469,-0.08502313
470,0.02161307
471,0.009631681
472,-0.12081213
473,-0.15236694
474,0.055694934
475,0.30444443
476,0.014061458
477,0.16205123
478,0.31043676
479,-0.08122419
480,0.20267859
481,0.4221797
482,0.09432283
483,-0.022997556
484,0.1094435
485,0.13386823
486,0.07246602
487,-0.21040185
488,-0.17087498
489,0.15396398
490,0.08467509
491,-0.035887823
492,0.18791942
493,0.27894685
494,0.013722885
495,0.14545338
496,-0.061049994
497,-0.15925807
498,-0.09721348
499,0.006424393
500,-0.037010096
501,-0.017933285
502,0.114190005
503,0.08537632
504,0.11670617
505,-0.3807716
506,0.002266653
507,0.33149886
508,-0.049569253
509,-0.06945715
510,0.16072932
511,0.073827155
512,0.0713701
513,-0.27438763
514,-0.24145277
515,0.2399292
516,0.12624104
517,0.085417114
518,-0.20731585
519,-0.20925911
520,-0.13533065
521,-0.19603992
522,-0.23776674
523,-0.2223089
524,0.11486125
525,0.13593595
526,0.17616545
527,-0.17954445
528,-0.017179081
529,0.083079986
530,0.061245035
531,-0.04377092
532,-0.014358684
533,0.2411696
534,0.25456673
535,0.23912023
536,-0.0777277
537,0.04530775
538,-0.09278217
539,-0.068899944
540,-0.35655278
541,-0.5387947
542,0.2790001
543,0.4370007
544,0.41861105
545,0.29107207
546,0.34441805
547,0.18827742
548,0.12808345
