,epoch,participant,training_loss,training_acc,test_loss,test_acc
0,0.0,0.0,0.04029009863734245,0.5759999752044678,0.013121062472462653,0.889
1,0.0,1.0,0.036005593836307526,0.6171666383743286,0.012566027522087098,0.89
2,0.0,2.0,0.03703639656305313,0.6208333373069763,0.012850947231054306,0.901
3,0.0,3.0,0.034139297902584076,0.6430000066757202,0.010627237290143967,0.907
4,0.0,4.0,0.032899562269449234,0.6623333096504211,0.012310754120349885,0.879
5,0.0,5.0,0.034909941256046295,0.6453333497047424,0.012375657588243485,0.883
6,0.0,6.0,0.040358055382966995,0.5678333044052124,0.013644376888871193,0.864
7,0.0,7.0,0.03457384929060936,0.6388333439826965,0.009777571424841881,0.901
8,0.0,8.0,0.039394646883010864,0.5771666765213013,0.012774003326892852,0.87
9,0.0,9.0,0.03693888336420059,0.612666666507721,0.013168036580085755,0.885
10,1.0,0.0,0.009981004521250725,0.9028333425521851,0.006502354413270951,0.94
11,1.0,1.0,0.009783884510397911,0.9118333458900452,0.007329607367515564,0.935
12,1.0,2.0,0.00968190748244524,0.9083333611488342,0.007702225290238857,0.936
13,1.0,3.0,0.009615201503038406,0.9014999866485596,0.006905747927725315,0.939
14,1.0,4.0,0.007918835617601871,0.9229999780654907,0.0065863305255770685,0.936
15,1.0,5.0,0.008592657744884491,0.9151666760444641,0.005957860145717859,0.943
16,1.0,6.0,0.01102131512016058,0.8891666531562805,0.007922872181981802,0.913
17,1.0,7.0,0.008531440980732441,0.9129999876022339,0.005382067049853504,0.948
18,1.0,8.0,0.009710156358778477,0.9023333191871643,0.0068633085153996945,0.936
19,1.0,9.0,0.009360346011817455,0.9113333225250244,0.006983857482671738,0.94
20,2.0,0.0,0.006251389626413584,0.9380000233650208,0.005381384300068021,0.951
21,2.0,1.0,0.005916604772210121,0.9441666603088379,0.004361351670697331,0.963
22,2.0,2.0,0.006578583270311356,0.9388333559036255,0.005743227938190103,0.956
23,2.0,3.0,0.006500524003058672,0.9351666569709778,0.005280504882335663,0.952
24,2.0,4.0,0.0051274956203997135,0.953166663646698,0.0050886653158813714,0.95
25,2.0,5.0,0.0057698083110153675,0.9431666731834412,0.006327161997556686,0.936
26,2.0,6.0,0.006685554049909115,0.9319999814033508,0.00635482257604599,0.94
27,2.0,7.0,0.00552420224994421,0.9424999952316284,0.003989174695685506,0.96
28,2.0,8.0,0.006370208226144314,0.9369999766349792,0.004894693603739142,0.952
29,2.0,9.0,0.005858154967427254,0.9433333277702332,0.00506157622486353,0.952
30,3.0,0.0,0.004671580158174038,0.9546666741371155,0.004342634286731481,0.961
31,3.0,1.0,0.004527206998318434,0.953166663646698,0.0037913144202902913,0.963
32,3.0,2.0,0.004980137106031179,0.9493333101272583,0.005741274251369759,0.944
33,3.0,3.0,0.005019143223762512,0.9496666789054871,0.005096225667744875,0.951
34,3.0,4.0,0.004089567344635725,0.9623333215713501,0.004412650435231626,0.957
35,3.0,5.0,0.004626672249287367,0.953499972820282,0.005640582960098982,0.942
36,3.0,6.0,0.005052691325545311,0.9503333568572998,0.00488383180834353,0.948
37,3.0,7.0,0.004239728674292564,0.9566666483879089,0.00338417507102713,0.975
38,3.0,8.0,0.00490541011095047,0.9523333311080933,0.004190028266981244,0.959
39,3.0,9.0,0.004687185399234295,0.952833354473114,0.004543519595637918,0.961
40,4.0,0.0,0.0038904245011508465,0.9606666564941406,0.0038851980334147812,0.966
41,4.0,1.0,0.0036181409377604723,0.9618333578109741,0.003816408966202289,0.964
42,4.0,2.0,0.00406850129365921,0.9586666822433472,0.005231430787593127,0.946
43,4.0,3.0,0.0040961261838674545,0.9581666588783264,0.003148474653251469,0.975
44,4.0,4.0,0.0037160038482397795,0.9664999842643738,0.004966005569323897,0.952
45,4.0,5.0,0.003823263105005026,0.9595000147819519,0.003894224920775741,0.961
46,4.0,6.0,0.004029720090329647,0.9606666564941406,0.004036379437893629,0.957
47,4.0,7.0,0.0034792327787727118,0.9643333554267883,0.0036076112324371933,0.957
48,4.0,8.0,0.004004530142992735,0.9620000123977661,0.004201785341836512,0.956
49,4.0,9.0,0.003901255317032337,0.9628333449363708,0.0034415764017030597,0.968
