,epoch0,epoch1,epoch2,epoch3,epoch4
12060,0.025112748,0.025112748,0.025112748,0.025112748,0.025112748
12061,0.040572472,0.040572472,0.040572472,0.040572472,0.040572472
12062,0.06558009,0.11409091,0.11409091,0.11409091,0.11409091
12063,0.0634717,0.0634717,0.0634717,0.0634717,0.0634717
12064,0.02489366,0.02489366,0.02489366,0.014717562,0.014717562
12065,-0.08324341,-0.08324341,-0.08324341,-0.08324341,-0.08324341
12066,0.038927484,0.038927484,0.038927484,0.038927484,0.038927484
12067,0.060202125,0.060202125,0.060202125,0.060202125,0.060202125
12068,-0.026034255,-0.026034255,-0.026034255,-0.026034255,-0.026034255
12069,-0.07637762,-0.07637762,-0.07637762,-0.07637762,-0.07637762
12070,0.032153107,0.032153107,0.032153107,0.032153107,0.032153107
12071,-0.017118398,-0.017118398,-0.017118398,-0.017118398,-0.017118398
12072,-0.04826803,-0.04826803,-0.04826803,-0.04826803,-0.04826803
12073,-0.07013284,-0.07013284,-0.07013284,-0.07013284,-0.07013284
12074,0.032891385,0.032891385,0.032891385,0.032891385,0.032891385
12075,-0.057542056,-0.057542056,-0.057542056,-0.057542056,-0.057542056
12076,-0.054503154,-0.054503154,-0.054503154,-0.054503154,-0.054503154
12077,0.047419272,0.047419272,0.047419272,0.047419272,0.047419272
12078,0.029977806,0.029977806,0.029977806,0.029977806,0.029977806
12079,-0.054345034,-0.054345034,-0.054345034,-0.054345034,-0.054345034
12080,0.017502196,0.017502196,0.017502196,0.017502196,0.017502196
12081,0.035523288,0.035523288,0.035523288,0.035523288,0.035523288
12082,-0.007896721,-0.007896721,-0.007896721,-0.007896721,-0.007896721
12083,0.06484872,0.06484872,0.06484872,0.06484872,0.06484872
12084,0.006686272,0.006686272,0.006686272,0.006686272,0.006686272
12085,0.023444563,0.023444563,0.023444563,0.023444563,0.023444563
12086,-0.040473703,-0.040473703,-0.040473703,-0.040473703,-0.040473703
12087,-0.014031654,-0.014031654,-0.014031654,-0.014031654,-0.014031654
12088,0.04205628,0.04205628,0.04205628,0.04205628,0.04205628
12089,-0.010214984,-0.010214984,-0.010214984,-0.010214984,-0.010214984
12090,0.05078278,0.05078278,0.05078278,0.05078278,0.05078278
12091,-0.07610995,-0.07610995,-0.07610995,-0.07610995,-0.07610995
12092,0.02889034,0.02889034,0.02889034,0.02889034,0.02889034
12093,0.05056285,0.05056285,0.05056285,0.05056285,0.05056285
12094,-0.09547873,-0.09547873,-0.09547873,-0.09547873,-0.09547873
12095,0.013558768,0.013558768,0.013558768,0.013558768,0.013558768
12096,-0.07990924,-0.07990924,-0.07990924,-0.07990924,-0.07990924
12097,0.018965147,0.018965147,0.018965147,0.018965147,0.018965147
12098,0.025594773,0.025594773,0.025594773,0.025594773,0.025594773
12099,-0.004047017,-0.004047017,-0.004047017,-0.004047017,-0.004047017
12100,0.036498364,0.036498364,0.036498364,0.036498364,0.036498364
12101,-0.05356596,-0.05356596,-0.05356596,-0.05356596,-0.05356596
12102,0.0026628375,0.0026628375,0.0026628375,0.0026628375,0.0026628375
12103,-0.04339699,-0.04339699,-0.04339699,-0.04339699,-0.04339699
12104,0.00015923381,0.00015923381,0.00015923381,0.00015923381,0.00015923381
12105,-0.078311086,-0.078311086,-0.078311086,-0.078311086,-0.078311086
12106,-0.0716426,-0.0716426,-0.0716426,-0.0716426,-0.0716426
12107,-0.075908795,-0.075908795,-0.075908795,-0.075908795,-0.075908795
12108,0.061780967,0.061780967,0.061780967,0.061780967,0.061780967
12109,0.019453824,0.019453824,0.019453824,0.019453824,0.019453824
12110,0.018913852,0.018913852,0.018913852,0.018913852,0.018913852
12111,0.06300663,0.06300663,0.06300663,0.06300663,0.06300663
12112,0.043696903,0.043696903,0.043696903,0.043696903,0.043696903
12113,-0.07013478,-0.07013478,-0.07013478,-0.07013478,-0.07013478
12114,0.019116748,0.019116748,0.019116748,0.019116748,0.019116748
